claim_id	briefing_section	claim_as_written	pipeline_result	verdict	delta_cause	evidence_source
S9-12	9 method	cluster-level aggregation (Dietschi et al. 2022) is the reliable readout	adopted as the reportable tier, with two documented limits. (1) 200kb is not a natural break: the V1R inter-gene gap distribution has its KDE minimum near 2Mb, so the boundary is a conservative choice, not a discovered one -- hence the second 800kb supercluster tier. (2) V2R clustering is materially weaker: 18 of 37 V2R clusters are singletons and only 180/222 V2R genes sit in clusters of >=5, so aggregation protects V2R calls less than V1R calls	AGREE	-- the method is adopted; the pipeline adds quantified limits the briefing does not carry	ref/vr_gtf_parse_report.txt, ref/vr_clusters.tsv
S8-01	8 sample table (trial 1)	pool100cells_S8: failed prep	tissue_verdict=MOE; Olfr sum 48729.1 CPM, Adcy3 16.5, Gnal 16.5, Omp 32.9 vs Trpc2 0.00, Vmn1r 0.00, Vmn2r 0.00 CPM; library_status=DEGENERATE; highest_tier_reported=-1	SUPERSEDED	The premise, not the grade. Every trial-1 description assumes the library is VNO tissue of varying quality; the tissue-identity panel says otherwise -- MAIN OLFACTORY EPITHELIUM for three of the four, and no tissue signal at all for pool2cellsRep1_S5 (both panels under the 100 CPM floor, which is uninformative rather than positively MOE). A library cannot be a degraded or borderline VNO sample if it is not VNO tissue at all, so the quality label is not merely wrong in degree -- it is answering the wrong question. Note specifically that Omp is TISSUE-SHARED (OMP-Cre labels mature main olfactory AND VNO neurons), which is exactly what let an MOE library look like a successful GFP+ VNO sort. Same annotation quantified both trials, and it yields 17,918-37,230 Trpc2 counts in trial-2 VNO libraries, so this is not a quantification artifact.	results/sample_qc_all.tsv:tissue_verdict + MOE/VNO panels
S8-02	8 sample table (trial 1)	pool2cellsRep1_S5: severe RNA degradation	tissue_verdict=no_tissue_signal; Olfr sum 0.8 CPM, Adcy3 0.0, Gnal 0.0, Omp 0.1 vs Trpc2 0.00, Vmn1r 0.14, Vmn2r 5.14 CPM; library_status=OK; highest_tier_reported=-1	SUPERSEDED	The premise, not the grade. Every trial-1 description assumes the library is VNO tissue of varying quality; the tissue-identity panel says otherwise -- MAIN OLFACTORY EPITHELIUM for three of the four, and no tissue signal at all for pool2cellsRep1_S5 (both panels under the 100 CPM floor, which is uninformative rather than positively MOE). A library cannot be a degraded or borderline VNO sample if it is not VNO tissue at all, so the quality label is not merely wrong in degree -- it is answering the wrong question. Note specifically that Omp is TISSUE-SHARED (OMP-Cre labels mature main olfactory AND VNO neurons), which is exactly what let an MOE library look like a successful GFP+ VNO sort. Same annotation quantified both trials, and it yields 17,918-37,230 Trpc2 counts in trial-2 VNO libraries, so this is not a quantification artifact.	results/sample_qc_all.tsv:tissue_verdict + MOE/VNO panels
S8-03	8 sample table (trial 1)	pool2cellsRep2_S6: borderline	tissue_verdict=MOE; Olfr sum 67.3 CPM, Adcy3 0.1, Gnal 319.6, Omp 863.7 vs Trpc2 0.00, Vmn1r 2.25, Vmn2r 1.23 CPM; library_status=FAILED; highest_tier_reported=-1	SUPERSEDED	The premise, not the grade. Every trial-1 description assumes the library is VNO tissue of varying quality; the tissue-identity panel says otherwise -- MAIN OLFACTORY EPITHELIUM for three of the four, and no tissue signal at all for pool2cellsRep1_S5 (both panels under the 100 CPM floor, which is uninformative rather than positively MOE). A library cannot be a degraded or borderline VNO sample if it is not VNO tissue at all, so the quality label is not merely wrong in degree -- it is answering the wrong question. Note specifically that Omp is TISSUE-SHARED (OMP-Cre labels mature main olfactory AND VNO neurons), which is exactly what let an MOE library look like a successful GFP+ VNO sort. Same annotation quantified both trials, and it yields 17,918-37,230 Trpc2 counts in trial-2 VNO libraries, so this is not a quantification artifact.	results/sample_qc_all.tsv:tissue_verdict + MOE/VNO panels
S8-04	8 sample table (trial 1)	pool2cellsRep3_S7: the cleanest 2-cell sample across both trials	tissue_verdict=MOE; Olfr sum 1112.8 CPM, Adcy3 2374.5, Gnal 4276.8, Omp 4027.6 vs Trpc2 0.00, Vmn1r 0.12, Vmn2r 0.00 CPM; library_status=OK; highest_tier_reported=-1	SUPERSEDED	The premise, not the grade. Every trial-1 description assumes the library is VNO tissue of varying quality; the tissue-identity panel says otherwise -- MAIN OLFACTORY EPITHELIUM for three of the four, and no tissue signal at all for pool2cellsRep1_S5 (both panels under the 100 CPM floor, which is uninformative rather than positively MOE). A library cannot be a degraded or borderline VNO sample if it is not VNO tissue at all, so the quality label is not merely wrong in degree -- it is answering the wrong question. Note specifically that Omp is TISSUE-SHARED (OMP-Cre labels mature main olfactory AND VNO neurons), which is exactly what let an MOE library look like a successful GFP+ VNO sort. Same annotation quantified both trials, and it yields 17,918-37,230 Trpc2 counts in trial-2 VNO libraries, so this is not a quantification artifact.	results/sample_qc_all.tsv:tissue_verdict + MOE/VNO panels
S8-05	8 sample table (trial 1)	pool2cellsRep3_S7 is the cleanest 2-cell sample across both trials	technically the cleanest library in trial 1 (uniquely mapped 43.0%, duplication 38.0%) AND a textbook mature MAIN OLFACTORY neuron: Adcy3 2375, Cnga2 585, Gnal 4277, Olfr sum 1113 CPM, Trpc2 exactly 0	SUPERSEDED	This is the most consequential single delta in the reconciliation. The library IS clean -- the briefing's technical read was right -- which is precisely why it was trusted. Cleanliness and correct tissue are independent properties, and no amount of library quality makes an MOE neuron informative about vomeronasal receptor choice. Zero VNO biology is reportable from it.	results/sample_qc_all.tsv, results/trial1/vr_cluster_expression.tsv
S8-06	8 sample table	the failed-sample list is: pool100cells_S8 (failed prep), trial-2 target2cellsRep2_S4 and target2cellsRep3_S5 (suspected failed preps)	the pipeline's unusable set is larger and has different membership: 6 of 10 libraries carry no reportable biology. All four trial-1 libraries fail at the tissue gate (3 MOE, 1 no_tissue_signal); in trial 2, target2cellsRep2_S4 fails sort validation after PASSING the tissue gate, and target2cellsRep3_S5 fails the tissue gate itself (no_tissue_signal). Cleared: nontarget100cells_S8, target100cellsRep1_S6, target100cellsRep2_S7, target2cellsRep1_S3	SUPERSEDED	Gate definition plus the tissue finding. The briefing's list was assembled from prep notes; the pipeline's is derived from measured panels, and the clearance gate is qc_overall=='USABLE' AND NOT suppress_biology. suppress_biology alone is insufficient -- two libraries carry suppress_biology=False while sort_verdict=FAIL, so gating on that column alone would have admitted them.	results/sample_qc_all.tsv:qc_overall,suppress_biology,sort_verdict; results/tier_status_all.tsv
S8-07	8 sample table	target2cellsRep2_S4 is a suspected failed prep	confirmed failed, and it is the case the gate exists for: actin sum 0.88 CPM and Trpc2 0.16 CPM (both under the failed-library thresholds of 100 and 10), yet it carries 501.5 CPM of Vmn1r signal. It passes the tissue gate (it IS VNO), fails sort validation, and yields ZERO receptor statements: 0 candidate rows	AGREE	-- and worth stating explicitly: VR family signal can survive a library that fails every other check. 501.5 CPM of Vmn1r in a dead library must never be read as a receptor call.	results/sample_qc_all.tsv, results/trial2/vr_candidates.tsv
S8-08	8 sample table	Rep1/Rep2/Rep3 are replicates	treated as INDEPENDENT libraries from DIFFERENT cells throughout. No correlation-based QC is applied between them and low agreement is never read as a failure. Confirmed by the data: target100cellsRep1_S6 and target100cellsRep2_S7 share their top cluster (V1R_chr6_cl008) but at 24.9% vs 36.3% of VR signal, and their top individual candidates differ (Vmn1r35 vs Vmn1r37)	AGREE	-- the caveat is honoured in code, not just in prose	results/trial2/vr_cluster_expression.tsv, results/trial2/vr_candidates.tsv
R-01	retraction (phase 1)	target100cellsRep2_S7 / V1R_chr7_cl013 is a genuine EM signature	NOT an artifact. em_flag=no_redistribution_signature, even_block_size=0; Vmn1r89 and Vmn1r87 carry 35153 and 32301 independent unique MAPQ255 reads. This is real CO-EXPRESSION across a 100-cell pool -- monogenic choice is a per-CELL rule, so a pool legitimately captures two paralogs of one cluster	SUPERSEDED	The reporting figure had applied its own visual evenness criterion instead of reading the em_flag column; it now reads the column. This is the false positive the unique-read gate exists to prevent, and it is why an even split alone must never be reported as an artifact. Retracted -- do not reintroduce.	results/trial2/vr_artifact_flags.tsv:em_flag,even_block_size
N-01	new finding (phase 1)	-- (not in the briefing)	EVIDENCE CONTRADICTION in target2cellsRep1_S3 / V1R_chr7_cl015: the EM-dominant paralog Vmn1r131 holds 99.9% of cluster EM signal (4452 counts) with ZERO unique reads, while Vmn1r103 and Vmn1r104 each carry 92 deduplicated unique reads and zero EM counts. The two channels name different genes; neither identifies the receptor. No individual call is issued for this cluster	REFRAMED	New: the second cluster of the sample the briefing described as a clean 99.9% single-cluster call turns out to have no nameable receptor. The cluster-level call stands; the individual call does not exist.	results/trial2/vr_candidates.tsv:evidence_contradiction
N-02	new finding (phase 1)	-- (not in the briefing)	all 26 candidate rows across both trials carry confirmation_status=tentative_unconfirmed. Several rank1/rank2 unique-read ratios are infinite against a background floor of 0, so a ranking can rest on very few reads -- the evidence columns must be read before quoting a rank	REFRAMED	New: no individual receptor identification in this dataset is confirmed. Tier 4 is advisory in every instance.	results/*/vr_candidates.tsv:confirmation_status
N-03	open question 1 (answered)	-- (open question, not a claim)	STAR retains rather than discards paralog ambiguity: multiple-loci reads are 1.66-36.35% of input versus 0.02-0.30% discarded as too-many-loci, a median ratio of ~125x, and the retained channel dominates in 10/10 libraries. VR paralog ambiguity therefore lands in Salmon's EM, not on the cutting-room floor. Cluster aggregation is mandatory, not optional	AGREE	-- answered in phase 0; reproduced by this run	results/sample_qc_all.tsv:pct_multi_loci,pct_too_many_loci
