# vr_quantify.py -- trial=trial1; CPM = count / (all-gene column sum of unscaled salmon.merged.gene_counts.tsv) * 1e6; cluster tier=200kb, supercluster tier=800kb; individual-paralog calls are tentative by construction
sample	tier	cluster_id	family	chrom	n_member_genes	n_member_genes_detected	counts_sum	cpm_sum	share_of_sample_vr	sample_total_vr_counts	sample_total_vr_cpm	is_called	trial	cell_type	n_cells	library_status	qc_overall	sort_verdict	suppress_biology	suppression_reason	interpretation_context	chr7_dual_tier_region
pool100cells_S8	cluster	V1R_chr7_cl018	V1R	7	2	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V1R_chr7_cl019	V1R	7	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V1R_chrX_cl023	V1R	X	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr10_cl022	V2R	10	4	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr10_cl023	V2R	10	4	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr13_cl024	V2R	13	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr13_cl025	V2R	13	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr14_cl026	V2R	14	3	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr17_cl027	V2R	17	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr17_cl028	V2R	17	35	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr17_cl029	V2R	17	2	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr17_cl030	V2R	17	12	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr17_cl031	V2R	17	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr17_cl032	V2R	17	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr2_cl001	V2R	2	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr3_cl002	V2R	3	18	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr4_cl003	V2R	4	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr4_cl004	V2R	4	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr4_cl005	V2R	4	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr4_cl006	V2R	4	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr4_cl007	V2R	4	2	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr4_cl008	V2R	4	1	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
pool100cells_S8	cluster	V2R_chr5_cl009	V2R	5	12	0	0.0	0.0		0.0	0.0	0	trial1	target	100	DEGENERATE	UNUSABLE	FAIL_WRONG_TISSUE	True	qc_overall=UNUSABLE; tissue_verdict=MOE; sort_verdict=FAIL_WRONG_TISSUE; library_status=DEGENERATE; blocking_flags=WRONG_TISSUE_MOE;sort_validation_FAIL_WRONG_TISSUE;library_DEGENERATE_too_few_counts;population_undetermined;prep_suspect_failed_prep;low_unique_mapping(5.85<50);warn_high_unmapped_short(92.06>40);warn_low_exonic(4.04<40);warn_high_intergenic(44.28>30)	pooled_ambiguous	0
