cluster_id	family	chrom	start	end	span_bp	n_genes	n_functional	n_pseudogenes	supercluster_id	member_gene_names	member_gene_ids
V1R_chr7_cl011	V1R	7	10273828	10749538	475711	12	6	6	V1R_chr7_sc010	Vmn1r66,Vmn1r-ps47,Vmn1r-ps48,Vmn1r67,Vmn1r68,Vmn1r-ps49,Vmn1r69,Vmn1r-ps50,Vmn1r70,Vmn1r-ps51,Vmn1r-ps52,Vmn1r71	ENSMUSG00000043066,ENSMUSG00000093781,ENSMUSG00000093487,ENSMUSG00000046716,ENSMUSG00000047031,ENSMUSG00000093595,ENSMUSG00000091662,ENSMUSG00000093418,ENSMUSG00000045340,ENSMUSG00000093534,ENSMUSG00000093689,ENSMUSG00000059206
V1R_chr7_cl012	V1R	7	11653130	12404499	751370	29	13	16	V1R_chr7_sc011	Vmn1r-ps53,Vmn1r72,Vmn1r73,Vmn1r-ps54,Vmn1r74,Vmn1r-ps55,Vmn1r75,Vmn1r-ps56,Vmn1r76,Vmn1r-ps57,Vmn1r-ps58,Vmn1r-ps59,Vmn1r-ps60,Vmn1r77,Vmn1r-ps61,Vmn1r-ps62,Vmn1r-ps63,Vmn1r78,Vmn1r79,Vmn1r80,Vmn1r-ps64,Vmn1r-ps65,Vmn1r81,Vmn1r82,Vmn1r83,Vmn1r84,Vmn1r-ps66,Vmn1r-ps67,Vmn1r-ps68	ENSMUSG00000092489,ENSMUSG00000095430,ENSMUSG00000051687,ENSMUSG00000092631,ENSMUSG00000047655,ENSMUSG00000092326,ENSMUSG00000043308,ENSMUSG00000092285,ENSMUSG00000045713,ENSMUSG00000092466,ENSMUSG00000092208,ENSMUSG00000092398,ENSMUSG00000092318,ENSMUSG00000095864,ENSMUSG00000092535,ENSMUSG00000092350,ENSMUSG00000092248,ENSMUSG00000061602,ENSMUSG00000096735,ENSMUSG00000057161,ENSMUSG00000092351,ENSMUSG00000092476,ENSMUSG00000094078,ENSMUSG00000058132,ENSMUSG00000066804,ENSMUSG00000066803,ENSMUSG00000092331,ENSMUSG00000092610,ENSMUSG00000092359
V1R_chr7_cl013	V1R	7	13084289	13244362	160074	6	5	1	V1R_chr7_sc011	Vmn1r85,Vmn1r86,Vmn1r87,Vmn1r88,Vmn1r89,Vmn1r-ps69	ENSMUSG00000070817,ENSMUSG00000070816,ENSMUSG00000070815,ENSMUSG00000095902,ENSMUSG00000095629,ENSMUSG00000092427
V1R_chr7_cl014	V1R	7	14560699	14562362	1664	1	1	0	V1R_chr7_sc012	Vmn1r90	ENSMUSG00000100586
V1R_chr7_cl015	V1R	7	20101158	21614985	1513828	37	31	6	V1R_chr7_sc013	Vmn1r91,Vmn1r93,Vmn1r94,Vmn1r95,Vmn1r-ps79,Vmn1r100,Vmn1r101,Vmn1r103,Vmn1r104,Vmn1r107,Vmn1r-ps71,Vmn1r111,Vmn1r112,Vmn1r113,Vmn1r114,Vmn1r115,Vmn1r116,Vmn1r117,Vmn1r118,Vmn1r119,Vmn1r-ps73,Vmn1r120,Vmn1r-ps74,Vmn1r121,Vmn1r122,Vmn1r123,Vmn1r124,Vmn1r125,Vmn1r126,Vmn1r127,Vmn1r128,Vmn1r129,Vmn1r-ps75,Vmn1r130,Vmn1r-ps76,Vmn1r131,Vmn1r132	ENSMUSG00000095201,ENSMUSG00000096164,ENSMUSG00000094011,ENSMUSG00000094735,ENSMUSG00000094160,ENSMUSG00000096386,ENSMUSG00000094545,ENSMUSG00000096663,ENSMUSG00000096903,ENSMUSG00000095275,ENSMUSG00000092487,ENSMUSG00000095768,ENSMUSG00000094284,ENSMUSG00000091638,ENSMUSG00000094085,ENSMUSG00000091435,ENSMUSG00000095973,ENSMUSG00000096737,ENSMUSG00000094589,ENSMUSG00000094010,ENSMUSG00000094501,ENSMUSG00000093986,ENSMUSG00000092616,ENSMUSG00000094680,ENSMUSG00000094001,ENSMUSG00000094385,ENSMUSG00000094221,ENSMUSG00000095309,ENSMUSG00000096813,ENSMUSG00000093890,ENSMUSG00000095758,ENSMUSG00000094879,ENSMUSG00000095185,ENSMUSG00000094208,ENSMUSG00000096741,ENSMUSG00000093941,ENSMUSG00000074322
V1R_chr7_cl016	V1R	7	21832351	23251682	1419332	23	18	5	V1R_chr7_sc013	Vmn1r135,Vmn1r-ps77,Vmn1r137,Vmn1r-ps78,Vmn1r138,Vmn1r139,Vmn1r142,Vmn1r143,Vmn1r-ps70,Vmn1r148,Vmn1r149,Vmn1r151,Vmn1r152,Vmn1r155,Vmn1r-ps80,Vmn1r157,Vmn1r158,Vmn1r159,Vmn1r160,Vmn1r163,Vmn1r165,Vmn1r-ps83,Vmn1r166	ENSMUSG00000095064,ENSMUSG00000092506,ENSMUSG00000095962,ENSMUSG00000095287,ENSMUSG00000095163,ENSMUSG00000074311,ENSMUSG00000095273,ENSMUSG00000096071,ENSMUSG00000095816,ENSMUSG00000095543,ENSMUSG00000094542,ENSMUSG00000093853,ENSMUSG00000095383,ENSMUSG00000094905,ENSMUSG00000092547,ENSMUSG00000095619,ENSMUSG00000094700,ENSMUSG00000095931,ENSMUSG00000094931,ENSMUSG00000094934,ENSMUSG00000095358,ENSMUSG00000092462,ENSMUSG00000096073
V1R_chr7_cl017	V1R	7	23486375	24055691	569317	18	16	2	V1R_chr7_sc013	Vmn1r-ps84,Vmn1r167,Vmn1r168,Vmn1r169,Vmn1r170,Vmn1r171,Vmn1r172,Vmn1r173,Vmn1r174,Vmn1r-ps85,Vmn1r175,Vmn1r176,Vmn1r177,Vmn1r178,Vmn1r179,Vmn1r180,Vmn1r181,Vmn1r183	ENSMUSG00000092496,ENSMUSG00000090715,ENSMUSG00000074291,ENSMUSG00000094602,ENSMUSG00000094187,ENSMUSG00000062483,ENSMUSG00000035523,ENSMUSG00000074289,ENSMUSG00000090411,ENSMUSG00000092629,ENSMUSG00000095632,ENSMUSG00000096859,ENSMUSG00000057513,ENSMUSG00000062598,ENSMUSG00000046924,ENSMUSG00000092473,ENSMUSG00000097425,ENSMUSG00000066723
V1R_chr7_cl018	V1R	7	26255080	26267775	12696	2	1	1	V1R_chr7_sc014	Vmn1r-ps86,Vmn1r184	ENSMUSG00000092514,ENSMUSG00000046130
V1R_chr7_cl019	V1R	7	26611021	26612164	1144	1	1	0	V1R_chr7_sc014	Vmn1r185	ENSMUSG00000091924
V1R_chr13_cl020	V1R	13	22057346	23269474	1212129	64	33	31	V1R_chr13_sc015	Vmn1r-ps92,Vmn1r-ps93,Vmn1r188,Vmn1r-ps94,Vmn1r189,Vmn1r-ps95,Vmn1r-ps97,Vmn1r190-ps,Vmn1r-ps99,Vmn1r191,Vmn1r192,Vmn1r193,Vmn1r194,Vmn1r195,Vmn1r196,Vmn1r-ps100,Vmn1r197,Vmn1r198,Vmn1r199,Vmn1r-ps102,Vmn1r200,Vmn1r-ps103,Vmn1r-ps104,Vmn1r201,Vmn1r-ps106,Vmn1r-ps107,Vmn1r-ps108,Vmn1r202,Vmn1r203,Vmn1r204,Vmn1r205,Vmn1r206,Vmn1r-ps109,Vmn1r-ps110,Vmn1r-ps111,Vmn1r207-ps,Vmn1r-ps112,Vmn1r-ps113,Vmn1r208,Vmn1r209,Vmn1r210,Vmn1r-ps114,Vmn1r211,Vmn1r-ps116,Vmn1r212,Vmn1r-ps120,Vmn1r-ps123,Vmn1r213,Vmn1r-ps125,Vmn1r214,Vmn1r-ps126,Vmn1r215,Vmn1r216,Vmn1r-ps127,Vmn1r217,Vmn1r-ps128,Vmn1r218,Vmn1r219,Vmn1r220,Vmn1r-ps132,Vmn1r221,Vmn1r222,Vmn1r223,Vmn1r-ps135	ENSMUSG00000083873,ENSMUSG00000082869,ENSMUSG00000069299,ENSMUSG00000081334,ENSMUSG00000099611,ENSMUSG00000081469,ENSMUSG00000083167,ENSMUSG00000089973,ENSMUSG00000083348,ENSMUSG00000095916,ENSMUSG00000099787,ENSMUSG00000046932,ENSMUSG00000069297,ENSMUSG00000069296,ENSMUSG00000069295,ENSMUSG00000082785,ENSMUSG00000069294,ENSMUSG00000095125,ENSMUSG00000069292,ENSMUSG00000081080,ENSMUSG00000101073,ENSMUSG00000084924,ENSMUSG00000081283,ENSMUSG00000094898,ENSMUSG00000081717,ENSMUSG00000080697,ENSMUSG00000081495,ENSMUSG00000094379,ENSMUSG00000069289,ENSMUSG00000094637,ENSMUSG00000100296,ENSMUSG00000101578,ENSMUSG00000081914,ENSMUSG00000083413,ENSMUSG00000083673,ENSMUSG00000084136,ENSMUSG00000082540,ENSMUSG00000081531,ENSMUSG00000071493,ENSMUSG00000071491,ENSMUSG00000061296,ENSMUSG00000083297,ENSMUSG00000063998,ENSMUSG00000082037,ENSMUSG00000071490,ENSMUSG00000082268,ENSMUSG00000079064,ENSMUSG00000060024,ENSMUSG00000082656,ENSMUSG00000061829,ENSMUSG00000083124,ENSMUSG00000099917,ENSMUSG00000057799,ENSMUSG00000081912,ENSMUSG00000094600,ENSMUSG00000084315,ENSMUSG00000060490,ENSMUSG00000061376,ENSMUSG00000096099,ENSMUSG00000080794,ENSMUSG00000082316,ENSMUSG00000061022,ENSMUSG00000069280,ENSMUSG00000084096
V1R_chr17_cl021	V1R	17	20405004	21323766	918763	24	13	11	V1R_chr17_sc016	Vmn1r-ps141,Vmn1r224,Vmn1r-ps142,Vmn1r-ps143,Vmn1r225,Vmn1r226,Vmn1r227,Vmn1r228,Vmn1r229,Vmn1r230,Vmn1r231,Vmn1r232,Vmn1r-ps144,Vmn1r-ps145,Vmn1r233,Vmn1r-ps146,Vmn1r-ps147,Vmn1r234,Vmn1r-ps148,Vmn1r235,Vmn1r-ps149,Vmn1r236,Vmn1r237,Vmn1r-ps150	ENSMUSG00000093729,ENSMUSG00000091151,ENSMUSG00000093705,ENSMUSG00000093454,ENSMUSG00000043537,ENSMUSG00000042848,ENSMUSG00000067951,ENSMUSG00000060245,ENSMUSG00000061150,ENSMUSG00000045417,ENSMUSG00000050933,ENSMUSG00000062165,ENSMUSG00000067949,ENSMUSG00000093429,ENSMUSG00000045575,ENSMUSG00000093453,ENSMUSG00000093788,ENSMUSG00000057203,ENSMUSG00000093648,ENSMUSG00000050102,ENSMUSG00000093449,ENSMUSG00000054142,ENSMUSG00000058030,ENSMUSG00000079693
V1R_chr18_cl022	V1R	18	3026901	3123412	96512	3	1	2	V1R_chr18_sc017	Vmn1r-ps151,Vmn1r-ps152,Vmn1r238	ENSMUSG00000093774,ENSMUSG00000093444,ENSMUSG00000091539
V1R_chrX_cl023	V1R	X	147452748	147453707	960	1	0	1	V1R_chrX_sc018	Vmn1r239-ps	ENSMUSG00000067262
V1R_chrGL456219.1_cl024	V1R	GL456219.1	94186	95088	903	1	1	0	V1R_chrGL456219.1_sc019	Vmn1r186	ENSMUSG00000096776
V2R_chr2_cl001	V2R	2	39274106	39274870	765	1	0	1	V2R_chr2_sc001	Vmn2r-ps2	ENSMUSG00000081144
V2R_chr3_cl002	V2R	3	64053031	64899762	846732	18	7	11	V2R_chr3_sc002	Vmn2r-ps3,Vmn2r1,Vmn2r2,Vmn2r3,Vmn2r-ps4,Vmn2r-ps5,Vmn2r4,Vmn2r-ps6,Vmn2r-ps7,Vmn2r-ps8,Vmn2r5,Vmn2r6,Vmn2r-ps9,Vmn2r-ps10,Vmn2r-ps11,Vmn2r7,Vmn2r-ps12,Vmn2r-ps13	ENSMUSG00000090303,ENSMUSG00000027824,ENSMUSG00000043897,ENSMUSG00000091572,ENSMUSG00000093503,ENSMUSG00000091967,ENSMUSG00000092049,ENSMUSG00000093395,ENSMUSG00000093546,ENSMUSG00000094482,ENSMUSG00000068999,ENSMUSG00000090581,ENSMUSG00000093699,ENSMUSG00000095107,ENSMUSG00000093434,ENSMUSG00000062200,ENSMUSG00000093474,ENSMUSG00000093767
V2R_chr4_cl003	V2R	4	145775612	145775988	377	1	0	1	V2R_chr4_sc003	Vmn2r-ps15	ENSMUSG00000094177
V2R_chr4_cl004	V2R	4	146264521	146264895	375	1	0	1	V2R_chr4_sc003	Vmn2r-ps17	ENSMUSG00000095096
V2R_chr4_cl005	V2R	4	146605105	146605481	377	1	0	1	V2R_chr4_sc003	Vmn2r-ps16	ENSMUSG00000095460
V2R_chr4_cl006	V2R	4	147126130	147126509	380	1	0	1	V2R_chr4_sc003	Vmn2r-ps18	ENSMUSG00000094849
V2R_chr4_cl007	V2R	4	147444380	147521912	77533	2	0	2	V2R_chr4_sc003	Vmn2r-ps19,Vmn2r-ps20	ENSMUSG00000093975,ENSMUSG00000096440
V2R_chr4_cl008	V2R	4	156331103	156339499	8397	1	0	1	V2R_chr4_sc004	Vmn2r-ps159	ENSMUSG00000057021
V2R_chr5_cl009	V2R	5	108797193	109578589	781397	12	10	2	V2R_chr5_sc005	Vmn2r8,Vmn2r9,Vmn2r-ps21,Vmn2r10,Vmn2r11,Vmn2r12,Vmn2r13,Vmn2r14,Vmn2r15,Vmn2r16,Vmn2r17,Vmn2r-ps23	ENSMUSG00000090961,ENSMUSG00000091624,ENSMUSG00000093510,ENSMUSG00000067010,ENSMUSG00000091450,ENSMUSG00000090688,ENSMUSG00000091635,ENSMUSG00000091059,ENSMUSG00000091375,ENSMUSG00000092080,ENSMUSG00000091879,ENSMUSG00000094409
V2R_chr5_cl010	V2R	5	151435966	151586906	150941	3	1	2	V2R_chr5_sc006	Vmn2r-ps25,Vmn2r-ps26,Vmn2r18	ENSMUSG00000107123,ENSMUSG00000106703,ENSMUSG00000091794
V2R_chr6_cl011	V2R	6	123308333	124231784	923452	13	9	4	V2R_chr6_sc007	Vmn2r19,Vmn2r20,Vmn2r-ps31,Vmn2r21,Vmn2r-ps32,Vmn2r22,Vmn2r23,Vmn2r24,Vmn2r25,Vmn2r26,Vmn2r-ps33,Vmn2r-ps34,Vmn2r27	ENSMUSG00000091260,ENSMUSG00000094145,ENSMUSG00000093652,ENSMUSG00000093820,ENSMUSG00000093724,ENSMUSG00000095486,ENSMUSG00000091620,ENSMUSG00000072780,ENSMUSG00000094672,ENSMUSG00000096630,ENSMUSG00000095544,ENSMUSG00000094415,ENSMUSG00000072778
V2R_chr7_cl012	V2R	7	5480641	5493851	13211	1	1	0	V2R_chr7_sc008	Vmn2r28	ENSMUSG00000066820
V2R_chr7_cl013	V2R	7	7231327	7902462	671136	12	8	4	V2R_chr7_sc009	Vmn2r29,Vmn2r30,Vmn2r31,Vmn2r-ps36,Vmn2r32,Vmn2r33,Vmn2r-ps37,Vmn2r34,Vmn2r-ps38,Vmn2r35,Vmn2r-ps40,Vmn2r36	ENSMUSG00000095730,ENSMUSG00000070847,ENSMUSG00000096373,ENSMUSG00000090849,ENSMUSG00000096743,ENSMUSG00000096691,ENSMUSG00000092439,ENSMUSG00000070841,ENSMUSG00000092173,ENSMUSG00000096399,ENSMUSG00000092433,ENSMUSG00000091651
V2R_chr7_cl014	V2R	7	8136950	9223653	1086704	17	9	8	V2R_chr7_sc009	Vmn2r41,Vmn2r42,Vmn2r43,Vmn2r-ps45,Vmn2r44,Vmn2r-ps46,Vmn2r45,Vmn2r-ps47,Vmn2r-ps49,Vmn2r-ps44,Vmn2r-ps43,Vmn2r40,Vmn2r-ps42,Vmn2r39,Vmn2r38,Vmn2r-ps41,Vmn2r37	ENSMUSG00000090892,ENSMUSG00000070844,ENSMUSG00000053720,ENSMUSG00000092452,ENSMUSG00000094098,ENSMUSG00000092441,ENSMUSG00000090662,ENSMUSG00000092614,ENSMUSG00000092204,ENSMUSG00000096707,ENSMUSG00000092573,ENSMUSG00000090864,ENSMUSG00000092611,ENSMUSG00000096658,ENSMUSG00000095773,ENSMUSG00000092548,ENSMUSG00000066828
V2R_chr7_cl015	V2R	7	9754636	10176286	421651	9	7	2	V2R_chr7_sc009	Vmn2r46,Vmn2r47,Vmn2r-ps51,Vmn2r-ps52,Vmn2r48,Vmn2r49,Vmn2r50,Vmn2r51,Vmn2r52	ENSMUSG00000090342,ENSMUSG00000094107,ENSMUSG00000094280,ENSMUSG00000093681,ENSMUSG00000095914,ENSMUSG00000096180,ENSMUSG00000094606,ENSMUSG00000058685,ENSMUSG00000091930
V2R_chr7_cl016	V2R	7	12445358	12733105	287748	5	4	1	V2R_chr7_sc010	Vmn2r-ps53,Vmn2r53,Vmn2r54,Vmn2r55,Vmn2r56	ENSMUSG00000092583,ENSMUSG00000096002,ENSMUSG00000096593,ENSMUSG00000091045,ENSMUSG00000090762
V2R_chr7_cl017	V2R	7	41399732	41448641	48910	1	1	0	V2R_chr7_sc011	Vmn2r57	ENSMUSG00000066537
V2R_chr7_cl018	V2R	7	41667979	42430724	762746	11	4	7	V2R_chr7_sc011	Vmn2r-ps54,Vmn2r-ps55,Vmn2r-ps56,Vmn2r58,Vmn2r-ps57,Vmn2r59,Vmn2r60,Vmn2r61,Vmn2r-ps58,Vmn2r-ps59,Vmn2r-ps60	ENSMUSG00000074164,ENSMUSG00000092538,ENSMUSG00000092451,ENSMUSG00000090383,ENSMUSG00000092328,ENSMUSG00000092032,ENSMUSG00000090619,ENSMUSG00000090967,ENSMUSG00000092370,ENSMUSG00000092382,ENSMUSG00000070621
V2R_chr7_cl019	V2R	7	42764438	42933789	169352	2	2	0	V2R_chr7_sc011	Vmn2r62,Vmn2r63	ENSMUSG00000091926,ENSMUSG00000090751
V2R_chr7_cl020	V2R	7	84810428	86246201	1435774	36	12	24	V2R_chr7_sc012	Vmn2r-ps62,Vmn2r65,Vmn2r66,Vmn2r-ps64,Vmn2r-ps65,Vmn2r-ps66,Vmn2r-ps67,Vmn2r67,Vmn2r-ps68,Vmn2r68,Vmn2r-ps69,Vmn2r69,Vmn2r-ps70,Vmn2r70,Vmn2r-ps71,Vmn2r-ps72,Vmn2r71,Vmn2r-ps73,Vmn2r-ps74,Vmn2r72,Vmn2r-ps75,Vmn2r-ps76,Vmn2r-ps77,Vmn2r73,Vmn2r-ps78,Vmn2r74,Vmn2r-ps79,Vmn2r-ps80,Vmn2r-ps81,Vmn2r-ps82,Vmn2r-ps83,Vmn2r-ps84,Vmn2r75,Vmn2r-ps85,Vmn2r-ps86,Vmn2r76	ENSMUSG00000092217,ENSMUSG00000066372,ENSMUSG00000094950,ENSMUSG00000092530,ENSMUSG00000092422,ENSMUSG00000092621,ENSMUSG00000092211,ENSMUSG00000095664,ENSMUSG00000092259,ENSMUSG00000096861,ENSMUSG00000090773,ENSMUSG00000091006,ENSMUSG00000092431,ENSMUSG00000090806,ENSMUSG00000092628,ENSMUSG00000092533,ENSMUSG00000091205,ENSMUSG00000092567,ENSMUSG00000092352,ENSMUSG00000051877,ENSMUSG00000092179,ENSMUSG00000092307,ENSMUSG00000092287,ENSMUSG00000070458,ENSMUSG00000092440,ENSMUSG00000090774,ENSMUSG00000092263,ENSMUSG00000092529,ENSMUSG00000092608,ENSMUSG00000092330,ENSMUSG00000092357,ENSMUSG00000092532,ENSMUSG00000090436,ENSMUSG00000092587,ENSMUSG00000092419,ENSMUSG00000091239
V2R_chr7_cl021	V2R	7	86795141	87037968	242828	4	3	1	V2R_chr7_sc012	Vmn2r77,Vmn2r-ps87,Vmn2r78,Vmn2r79	ENSMUSG00000090949,ENSMUSG00000092195,ENSMUSG00000091962,ENSMUSG00000090362
V2R_chr10_cl022	V2R	10	79148797	79492154	343358	4	4	0	V2R_chr10_sc013	Vmn2r80,Vmn2r81,Vmn2r82,Vmn2r83	ENSMUSG00000091888,ENSMUSG00000055515,ENSMUSG00000091468,ENSMUSG00000091381
V2R_chr10_cl023	V2R	10	130385316	130497379	112064	4	4	0	V2R_chr10_sc014	Vmn2r84,Vmn2r85,Vmn2r86,Vmn2r87	ENSMUSG00000070601,ENSMUSG00000092048,ENSMUSG00000092162,ENSMUSG00000091511
V2R_chr13_cl024	V2R	13	33766920	33769463	2544	1	0	1	V2R_chr13_sc015	Vmn2r-ps94	ENSMUSG00000080317
V2R_chr13_cl025	V2R	13	66352469	66355385	2917	1	0	1	V2R_chr13_sc016	Vmn2r-ps104	ENSMUSG00000094499
V2R_chr14_cl026	V2R	14	51377348	51461293	83946	3	2	1	V2R_chr14_sc017	Vmn2r-ps111,Vmn2r88,Vmn2r89	ENSMUSG00000089761,ENSMUSG00000000606,ENSMUSG00000070448
V2R_chr17_cl027	V2R	17	17703941	17734167	30227	1	1	0	V2R_chr17_sc018	Vmn2r90	ENSMUSG00000092120
V2R_chr17_cl028	V2R	17	18049484	20596259	2546776	35	21	14	V2R_chr17_sc018	Vmn2r124,Vmn2r91,Vmn2r92,Vmn2r94,Vmn2r93,Vmn2r95,Vmn2r-ps114,Vmn2r96,Vmn2r-ps115,Vmn2r-ps116,Vmn2r-ps117,Vmn2r97,Vmn2r-ps118,Vmn2r98,Vmn2r-ps119,Vmn2r-ps120,Vmn2r99,Vmn2r-ps121,Vmn2r100,Vmn2r101,Vmn2r102,Vmn2r-ps122,Vmn2r103,Vmn2r-ps123,Vmn2r-ps124,Vmn2r-ps125,Vmn2r104,Vmn2r-ps126,Vmn2r105,Vmn2r106,Vmn2r-ps127,Vmn2r107,Vmn2r108,Vmn2r109,Vmn2r110	ENSMUSG00000094396,ENSMUSG00000091206,ENSMUSG00000091350,ENSMUSG00000090417,ENSMUSG00000079698,ENSMUSG00000091631,ENSMUSG00000093775,ENSMUSG00000091679,ENSMUSG00000093582,ENSMUSG00000093602,ENSMUSG00000093531,ENSMUSG00000091491,ENSMUSG00000093607,ENSMUSG00000096717,ENSMUSG00000093533,ENSMUSG00000093776,ENSMUSG00000090304,ENSMUSG00000093627,ENSMUSG00000091859,ENSMUSG00000094892,ENSMUSG00000095961,ENSMUSG00000093592,ENSMUSG00000091771,ENSMUSG00000093426,ENSMUSG00000093642,ENSMUSG00000093711,ENSMUSG00000090315,ENSMUSG00000093401,ENSMUSG00000091670,ENSMUSG00000091656,ENSMUSG00000093469,ENSMUSG00000056910,ENSMUSG00000091805,ENSMUSG00000090572,ENSMUSG00000091259
V2R_chr17_cl029	V2R	17	22547941	22619133	71193	2	2	0	V2R_chr17_sc019	Vmn2r111,Vmn2r112	ENSMUSG00000095093,ENSMUSG00000094921
V2R_chr17_cl030	V2R	17	22916878	23479597	562720	12	5	7	V2R_chr17_sc019	Vmn2r-ps128,Vmn2r113,Vmn2r-ps129,Vmn2r-ps130,Vmn2r-ps131,Vmn2r-ps132,Vmn2r-ps133,Vmn2r114,Vmn2r115,Vmn2r116,Vmn2r-ps134,Vmn2r117	ENSMUSG00000090355,ENSMUSG00000092111,ENSMUSG00000094752,ENSMUSG00000095658,ENSMUSG00000096429,ENSMUSG00000093714,ENSMUSG00000093493,ENSMUSG00000091945,ENSMUSG00000091076,ENSMUSG00000090966,ENSMUSG00000096270,ENSMUSG00000091407
