gene_id	gene_name	chrom	start	end	strand	gene_biotype	n_transcripts	n_exons	family	is_pseudogene	pseudogene_criterion	span_source	exon_span_start	exon_span_end	span_agrees_tx_vs_exon	supercluster_id	is_primary_assembly
ENSMUSG00000061208	Vmn1r8	6	57035913	57037125	+	protein_coding	1	1	V1R	0	none	transcript	57035913	57037125	1	V1R_chr6_sc006	1
ENSMUSG00000091541	Vmn1r9	6	57070895	57071945	+	protein_coding	1	1	V1R	0	none	transcript	57070895	57071945	1	V1R_chr6_sc006	1
ENSMUSG00000093785	Vmn1r10	6	57113396	57114367	+	protein_coding	1	1	V1R	0	none	transcript	57113396	57114367	1	V1R_chr6_sc006	1
ENSMUSG00000093635	Vmn1r11	6	57137299	57138325	+	protein_coding	1	1	V1R	0	none	transcript	57137299	57138325	1	V1R_chr6_sc006	1
ENSMUSG00000057981	Vmn1r12	6	57158920	57159854	+	protein_coding	1	1	V1R	0	none	transcript	57158920	57159854	1	V1R_chr6_sc006	1
ENSMUSG00000093728	Vmn1r-ps8	6	57188507	57189344	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	57188507	57189344	1	V1R_chr6_sc006	1
ENSMUSG00000064259	Vmn1r13	6	57209858	57210760	+	protein_coding	1	1	V1R	0	none	transcript	57209858	57210760	1	V1R_chr6_sc006	1
ENSMUSG00000093692	Vmn1r14	6	57232843	57234371	+	protein_coding	1	1	V1R	0	none	transcript	57232843	57234371	1	V1R_chr6_sc006	1
ENSMUSG00000058731	Vmn1r15	6	57258149	57259048	+	protein_coding	1	1	V1R	0	none	transcript	57258149	57259048	1	V1R_chr6_sc006	1
ENSMUSG00000093520	Vmn1r-ps9	6	57278022	57278379	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	57278022	57278379	1	V1R_chr6_sc006	1
ENSMUSG00000093621	Vmn1r-ps10	6	57312939	57313827	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	57312939	57313827	1	V1R_chr6_sc006	1
ENSMUSG00000093523	Vmn1r16	6	57322645	57323657	-	protein_coding	1	1	V1R	0	none	transcript	57322645	57323657	1	V1R_chr6_sc006	1
ENSMUSG00000093411	Vmn1r17	6	57360452	57361431	-	protein_coding	1	1	V1R	0	none	transcript	57360452	57361431	1	V1R_chr6_sc006	1
ENSMUSG00000091382	Vmn1r18	6	57389580	57390666	-	protein_coding	1	1	V1R	0	none	transcript	57389580	57390666	1	V1R_chr6_sc006	1
ENSMUSG00000068426	Vmn1r19	6	57404366	57405483	+	protein_coding	1	1	V1R	0	none	transcript	57404366	57405483	1	V1R_chr6_sc006	1
ENSMUSG00000093679	Vmn1r20	6	57431644	57432695	+	protein_coding	1	1	V1R	0	none	transcript	57431644	57432695	1	V1R_chr6_sc006	1
ENSMUSG00000093398	Vmn1r-ps11	6	57447356	57448208	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	57447356	57448208	1	V1R_chr6_sc006	1
ENSMUSG00000058588	Vmn1r21	6	57843464	57844498	-	protein_coding	1	1	V1R	0	none	transcript	57843464	57844498	1	V1R_chr6_sc006	1
ENSMUSG00000093530	Vmn1r-ps12	6	57872415	57872916	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	57872415	57872916	1	V1R_chr6_sc006	1
ENSMUSG00000093501	Vmn1r22	6	57899959	57901054	-	protein_coding	1	1	V1R	0	none	transcript	57899959	57901054	1	V1R_chr6_sc006	1
ENSMUSG00000093376	Vmn1r23	6	57925842	57926838	-	protein_coding	1	1	V1R	0	none	transcript	57925842	57926838	1	V1R_chr6_sc006	1
ENSMUSG00000093451	Vmn1r24	6	57955633	57956578	-	protein_coding	1	1	V1R	0	none	transcript	57955633	57956578	1	V1R_chr6_sc006	1
ENSMUSG00000094206	Vmn1r25	6	57978299	57979351	-	protein_coding	1	1	V1R	0	none	transcript	57978299	57979351	1	V1R_chr6_sc006	1
ENSMUSG00000048697	Vmn1r26	6	58008183	58009202	-	protein_coding	1	1	V1R	0	none	transcript	58008183	58009202	1	V1R_chr6_sc006	1
ENSMUSG00000093382	Vmn1r-ps14	6	58048935	58049847	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58048935	58049847	1	V1R_chr6_sc006	1
ENSMUSG00000093666	Vmn1r-ps15	6	58077173	58078082	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58077173	58078082	1	V1R_chr6_sc006	1
ENSMUSG00000093743	Vmn1r-ps17	6	58115737	58116630	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58115737	58116630	1	V1R_chr6_sc006	1
ENSMUSG00000093731	Vmn1r-ps18	6	58205685	58206925	+	unprocessed_pseudogene	1	2	V1R	1	biotype+name	transcript	58205685	58206925	1	V1R_chr6_sc006	1
ENSMUSG00000071428	Vmn1r27	6	58215106	58216017	-	protein_coding	1	1	V1R	0	none	transcript	58215106	58216017	1	V1R_chr6_sc006	1
ENSMUSG00000093522	Vmn1r-ps19	6	58256623	58257548	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58256623	58257548	1	V1R_chr6_sc006	1
ENSMUSG00000094291	Vmn1r28	6	58265078	58266162	+	protein_coding	1	1	V1R	0	none	transcript	58265078	58266162	1	V1R_chr6_sc006	1
ENSMUSG00000091734	Vmn1r29	6	58307268	58308290	+	protein_coding	1	1	V1R	0	none	transcript	58307268	58308290	1	V1R_chr6_sc006	1
ENSMUSG00000093702	Vmn1r-ps20	6	58406413	58407327	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58406413	58407327	1	V1R_chr6_sc006	1
ENSMUSG00000095670	Vmn1r30	6	58434842	58435894	-	protein_coding	1	1	V1R	0	none	transcript	58434842	58435894	1	V1R_chr6_sc006	1
ENSMUSG00000093461	Vmn1r-ps21	6	58455069	58455993	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58455069	58455993	1	V1R_chr6_sc006	1
ENSMUSG00000093379	Vmn1r31	6	58471898	58475343	-	protein_coding	4	7	V1R	0	none	transcript	58471898	58475343	1	V1R_chr6_sc006	1
ENSMUSG00000093518	Vmn1r-ps22	6	58494348	58495247	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58494348	58495247	1	V1R_chr6_sc006	1
ENSMUSG00000093588	Vmn1r-ps23	6	58504443	58504737	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	58504443	58504737	1	V1R_chr6_sc006	1
ENSMUSG00000062905	Vmn1r32	6	66552183	66559708	-	protein_coding	1	3	V1R	0	none	transcript	66552183	66559708	1	V1R_chr6_sc007	1
ENSMUSG00000059375	Vmn1r33	6	66611448	66616062	-	protein_coding	2	4	V1R	0	none	transcript	66611448	66616062	1	V1R_chr6_sc007	1
ENSMUSG00000091012	Vmn1r34	6	66636823	66637752	-	protein_coding	1	1	V1R	0	none	transcript	66636823	66637752	1	V1R_chr6_sc007	1
ENSMUSG00000060699	Vmn1r35	6	66678794	66679684	-	protein_coding	1	1	V1R	0	none	transcript	66678794	66679684	1	V1R_chr6_sc007	1
ENSMUSG00000093764	Vmn1r36	6	66715902	66716930	-	protein_coding	1	1	V1R	0	none	transcript	66715902	66716930	1	V1R_chr6_sc007	1
ENSMUSG00000057612	Vmn1r37	6	66731392	66732300	+	protein_coding	1	1	V1R	0	none	transcript	66731392	66732300	1	V1R_chr6_sc007	1
ENSMUSG00000093504	Vmn1r-ps24	6	66753380	66754279	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	66753380	66754279	1	V1R_chr6_sc007	1
ENSMUSG00000093632	Vmn1r38	6	66776144	66777179	-	protein_coding	1	1	V1R	0	none	transcript	66776144	66777179	1	V1R_chr6_sc007	1
ENSMUSG00000093755	Vmn1r39	6	66804212	66805443	-	protein_coding	1	1	V1R	0	none	transcript	66804212	66805443	1	V1R_chr6_sc007	1
ENSMUSG00000100128	Vmn1r-ps25	6	89698719	89699517	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	89698719	89699517	1	V1R_chr6_sc008	1
ENSMUSG00000096051	Vmn1r40	6	89714203	89715135	+	protein_coding	1	1	V1R	0	none	transcript	89714203	89715135	1	V1R_chr6_sc008	1
ENSMUSG00000094586	Vmn1r41	6	89746479	89747414	+	protein_coding	1	1	V1R	0	none	transcript	89746479	89747414	1	V1R_chr6_sc008	1
ENSMUSG00000092311	Vmn1r-ps26	6	89789449	89790288	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	89789449	89790288	1	V1R_chr6_sc008	1
ENSMUSG00000092237	Vmn1r-ps27	6	89805008	89805992	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	89805008	89805992	1	V1R_chr6_sc008	1
ENSMUSG00000068232	Vmn1r42	6	89844518	89845615	-	protein_coding	1	1	V1R	0	none	transcript	89844518	89845615	1	V1R_chr6_sc008	1
ENSMUSG00000068231	Vmn1r43	6	89869513	89870502	-	protein_coding	1	1	V1R	0	none	transcript	89869513	89870502	1	V1R_chr6_sc008	1
ENSMUSG00000068234	Vmn1r44	6	89893177	89894284	+	protein_coding	1	1	V1R	0	none	transcript	89893177	89894284	1	V1R_chr6_sc008	1
ENSMUSG00000092228	Vmn1r-ps28	6	89907677	89908618	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	89907677	89908618	1	V1R_chr6_sc008	1
ENSMUSG00000044248	Vmn1r45	6	89931649	89940507	-	protein_coding	1	2	V1R	0	none	transcript	89931649	89940507	1	V1R_chr6_sc008	1
ENSMUSG00000061653	Vmn1r46	6	89976171	89977100	+	protein_coding	1	1	V1R	0	none	transcript	89976171	89977100	1	V1R_chr6_sc008	1
ENSMUSG00000092303	Vmn1r-ps29	6	89997612	90004589	+	unprocessed_pseudogene	1	2	V1R	1	biotype+name	transcript	89997612	90004589	1	V1R_chr6_sc008	1
ENSMUSG00000060724	Vmn1r47	6	90021888	90022820	+	protein_coding	1	1	V1R	0	none	transcript	90021888	90022820	1	V1R_chr6_sc008	1
ENSMUSG00000057592	Vmn1r48	6	90035933	90036841	-	protein_coding	1	1	V1R	0	none	transcript	90035933	90036841	1	V1R_chr6_sc008	1
ENSMUSG00000092450	Vmn1r-ps31	6	90056409	90056646	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	90056409	90056646	1	V1R_chr6_sc008	1
ENSMUSG00000095932	Vmn1r49	6	90072086	90073018	-	protein_coding	1	1	V1R	0	none	transcript	90072086	90073018	1	V1R_chr6_sc008	1
ENSMUSG00000094553	Vmn1r50	6	90107275	90108207	+	protein_coding	1	1	V1R	0	none	transcript	90107275	90108207	1	V1R_chr6_sc008	1
ENSMUSG00000062818	Vmn1r51	6	90122643	90130990	+	protein_coding	2	4	V1R	0	none	transcript	90122643	90130990	1	V1R_chr6_sc008	1
ENSMUSG00000061843	Vmn1r-ps32	6	90153047	90154002	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	90153047	90154002	1	V1R_chr6_sc008	1
ENSMUSG00000060816	Vmn1r52	6	90178716	90179645	+	protein_coding	1	1	V1R	0	none	transcript	90178716	90179645	1	V1R_chr6_sc008	1
ENSMUSG00000057697	Vmn1r53	6	90223317	90224438	-	protein_coding	1	1	V1R	0	none	transcript	90223317	90224438	1	V1R_chr6_sc008	1
ENSMUSG00000099754	Vmn1r-ps34	6	90242272	90243214	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	90242272	90243214	1	V1R_chr6_sc008	1
ENSMUSG00000047203	Vmn1r54	6	90269106	90270053	+	protein_coding	1	1	V1R	0	none	transcript	90269106	90270053	1	V1R_chr6_sc008	1
ENSMUSG00000074402	Vmn1r55	7	5146218	5147501	-	protein_coding	1	1	V1R	0	none	transcript	5146218	5147501	1	V1R_chr7_sc009	1
ENSMUSG00000091874	Vmn1r56	7	5194916	5196747	-	protein_coding	1	1	V1R	0	none	transcript	5194916	5196747	1	V1R_chr7_sc009	1
ENSMUSG00000091652	Vmn1r57	7	5220478	5221410	+	protein_coding	1	1	V1R	0	none	transcript	5220478	5221410	1	V1R_chr7_sc009	1
ENSMUSG00000078808	Vmn1r58	7	5408887	5413145	-	protein_coding	1	2	V1R	0	none	transcript	5408887	5413145	1	V1R_chr7_sc009	1
ENSMUSG00000074401	Vmn1r59	7	5453400	5454838	-	protein_coding	1	1	V1R	0	none	transcript	5453400	5454838	1	V1R_chr7_sc009	1
ENSMUSG00000090794	Vmn1r60	7	5544197	5545129	-	protein_coding	2	2	V1R	0	none	transcript	5544197	5545129	1	V1R_chr7_sc009	1
ENSMUSG00000092336	Vmn1r-ps40	7	5572733	5573075	-	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	5572733	5573075	1	V1R_chr7_sc009	1
ENSMUSG00000094313	Vmn1r61	7	5610411	5611313	-	protein_coding	1	1	V1R	0	none	transcript	5610411	5611313	1	V1R_chr7_sc009	1
ENSMUSG00000092579	Vmn1r62	7	5674627	5676383	+	protein_coding	1	1	V1R	0	none	transcript	5674627	5676383	1	V1R_chr7_sc009	1
ENSMUSG00000058631	Vmn1r63	7	5802345	5805445	-	protein_coding	1	2	V1R	0	none	transcript	5802345	5805445	1	V1R_chr7_sc009	1
ENSMUSG00000058399	Vmn1r64	7	5883580	5884542	-	protein_coding	1	1	V1R	0	none	transcript	5883580	5884542	1	V1R_chr7_sc009	1
ENSMUSG00000092580	Vmn1r-ps45	7	5929501	5930455	-	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	5929501	5930455	1	V1R_chr7_sc009	1
ENSMUSG00000092271	Vmn1r-ps46	7	5966268	5967216	-	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	5966268	5967216	1	V1R_chr7_sc009	1
ENSMUSG00000066850	Vmn1r65	7	6007750	6011010	-	protein_coding	1	3	V1R	0	none	transcript	6007750	6011010	1	V1R_chr7_sc009	1
ENSMUSG00000043066	Vmn1r66	7	10273828	10275351	-	protein_coding	1	1	V1R	0	none	transcript	10273828	10275351	1	V1R_chr7_sc010	1
ENSMUSG00000093781	Vmn1r-ps47	7	10280797	10281703	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	10280797	10281703	1	V1R_chr7_sc010	1
ENSMUSG00000093487	Vmn1r-ps48	7	10300485	10301380	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	10300485	10301380	1	V1R_chr7_sc010	1
ENSMUSG00000046716	Vmn1r67	7	10446789	10447784	+	protein_coding	1	1	V1R	0	none	transcript	10446789	10447784	1	V1R_chr7_sc010	1
ENSMUSG00000047031	Vmn1r68	7	10527210	10528169	-	protein_coding	1	1	V1R	0	none	transcript	10527210	10528169	1	V1R_chr7_sc010	1
ENSMUSG00000093595	Vmn1r-ps49	7	10549557	10550435	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	10549557	10550435	1	V1R_chr7_sc010	1
ENSMUSG00000091662	Vmn1r69	7	10579756	10613576	-	protein_coding	3	14	V1R	0	none	transcript	10579756	10613576	1	V1R_chr7_sc010	1
ENSMUSG00000093418	Vmn1r-ps50	7	10604765	10605138	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	10604765	10605138	1	V1R_chr7_sc010	1
ENSMUSG00000045340	Vmn1r70	7	10633587	10634483	+	protein_coding	1	1	V1R	0	none	transcript	10633587	10634483	1	V1R_chr7_sc010	1
ENSMUSG00000093534	Vmn1r-ps51	7	10650299	10650618	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	10650299	10650618	1	V1R_chr7_sc010	1
ENSMUSG00000093689	Vmn1r-ps52	7	10666766	10667627	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	10666766	10667627	1	V1R_chr7_sc010	1
ENSMUSG00000059206	Vmn1r71	7	10747502	10749538	-	protein_coding	1	1	V1R	0	none	transcript	10747502	10749538	1	V1R_chr7_sc010	1
ENSMUSG00000092489	Vmn1r-ps53	7	11653130	11654051	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	11653130	11654051	1	V1R_chr7_sc011	1
ENSMUSG00000095430	Vmn1r72	7	11669599	11670519	-	protein_coding	1	1	V1R	0	none	transcript	11669599	11670519	1	V1R_chr7_sc011	1
ENSMUSG00000051687	Vmn1r73	7	11756257	11757168	+	protein_coding	1	1	V1R	0	none	transcript	11756257	11757168	1	V1R_chr7_sc011	1
ENSMUSG00000092631	Vmn1r-ps54	7	11782089	11782266	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	11782089	11782266	1	V1R_chr7_sc011	1
ENSMUSG00000047655	Vmn1r74	7	11846775	11847689	+	protein_coding	1	1	V1R	0	none	transcript	11846775	11847689	1	V1R_chr7_sc011	1
ENSMUSG00000092326	Vmn1r-ps55	7	11853957	11854348	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	11853957	11854348	1	V1R_chr7_sc011	1
ENSMUSG00000043308	Vmn1r75	7	11880343	11881260	+	protein_coding	1	1	V1R	0	none	transcript	11880343	11881260	1	V1R_chr7_sc011	1
ENSMUSG00000092285	Vmn1r-ps56	7	11911246	11912210	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	11911246	11912210	1	V1R_chr7_sc011	1
ENSMUSG00000045713	Vmn1r76	7	11930311	11931285	-	protein_coding	1	1	V1R	0	none	transcript	11930311	11931285	1	V1R_chr7_sc011	1
ENSMUSG00000092466	Vmn1r-ps57	7	11965562	11965849	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	11965562	11965849	1	V1R_chr7_sc011	1
ENSMUSG00000092208	Vmn1r-ps58	7	11976950	11977789	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	11976950	11977789	1	V1R_chr7_sc011	1
ENSMUSG00000092398	Vmn1r-ps59	7	11994883	11995081	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	11994883	11995081	1	V1R_chr7_sc011	1
ENSMUSG00000092318	Vmn1r-ps60	7	12005066	12006310	+	unprocessed_pseudogene	1	2	V1R	1	biotype+name	transcript	12005066	12006310	1	V1R_chr7_sc011	1
ENSMUSG00000095864	Vmn1r77	7	12041299	12042219	+	protein_coding	1	1	V1R	0	none	transcript	12041299	12042219	1	V1R_chr7_sc011	1
ENSMUSG00000092535	Vmn1r-ps61	7	12091277	12092098	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	12091277	12092098	1	V1R_chr7_sc011	1
ENSMUSG00000092350	Vmn1r-ps62	7	12113265	12114541	+	unprocessed_pseudogene	1	2	V1R	1	biotype+name	transcript	12113265	12114541	1	V1R_chr7_sc011	1
ENSMUSG00000092248	Vmn1r-ps63	7	12138321	12139309	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	12138321	12139309	1	V1R_chr7_sc011	1
ENSMUSG00000061602	Vmn1r78	7	12152464	12153405	+	protein_coding	1	1	V1R	0	none	transcript	12152464	12153405	1	V1R_chr7_sc011	1
ENSMUSG00000096735	Vmn1r79	7	12176193	12177113	+	protein_coding	1	1	V1R	0	none	transcript	12176193	12177113	1	V1R_chr7_sc011	1
ENSMUSG00000057161	Vmn1r80	7	12192965	12193891	+	protein_coding	1	1	V1R	0	none	transcript	12192965	12193891	1	V1R_chr7_sc011	1
ENSMUSG00000092351	Vmn1r-ps64	7	12201702	12202356	+	processed_pseudogene	1	1	V1R	1	biotype+name	transcript	12201702	12202356	1	V1R_chr7_sc011	1
ENSMUSG00000092476	Vmn1r-ps65	7	12214595	12215545	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	12214595	12215545	1	V1R_chr7_sc011	1
ENSMUSG00000094078	Vmn1r81	7	12259759	12260679	-	protein_coding	1	1	V1R	0	none	transcript	12259759	12260679	1	V1R_chr7_sc011	1
ENSMUSG00000058132	Vmn1r82	7	12304802	12305719	+	protein_coding	2	2	V1R	0	none	transcript	12304802	12305719	1	V1R_chr7_sc011	1
ENSMUSG00000066804	Vmn1r83	7	12321180	12322175	-	protein_coding	1	1	V1R	0	none	transcript	12321180	12322175	1	V1R_chr7_sc011	1
ENSMUSG00000066803	Vmn1r84	7	12361808	12362764	-	protein_coding	1	1	V1R	0	none	transcript	12361808	12362764	1	V1R_chr7_sc011	1
ENSMUSG00000092331	Vmn1r-ps66	7	12392272	12392883	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	12392272	12392883	1	V1R_chr7_sc011	1
ENSMUSG00000092610	Vmn1r-ps67	7	12399051	12399741	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	12399051	12399741	1	V1R_chr7_sc011	1
ENSMUSG00000092359	Vmn1r-ps68	7	12404101	12404499	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	12404101	12404499	1	V1R_chr7_sc011	1
ENSMUSG00000070817	Vmn1r85	7	13084289	13085215	-	protein_coding	1	1	V1R	0	none	transcript	13084289	13085215	1	V1R_chr7_sc011	1
ENSMUSG00000070816	Vmn1r86	7	13101997	13102947	-	protein_coding	1	1	V1R	0	none	transcript	13101997	13102947	1	V1R_chr7_sc011	1
ENSMUSG00000070815	Vmn1r87	7	13131471	13132358	-	protein_coding	1	1	V1R	0	none	transcript	13131471	13132358	1	V1R_chr7_sc011	1
ENSMUSG00000095902	Vmn1r88	7	13177719	13178669	+	protein_coding	1	1	V1R	0	none	transcript	13177719	13178669	1	V1R_chr7_sc011	1
ENSMUSG00000095629	Vmn1r89	7	13219339	13220289	+	protein_coding	1	1	V1R	0	none	transcript	13219339	13220289	1	V1R_chr7_sc011	1
ENSMUSG00000092427	Vmn1r-ps69	7	13244162	13244362	+	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	13244162	13244362	1	V1R_chr7_sc011	1
ENSMUSG00000100586	Vmn1r90	7	14560699	14562362	-	protein_coding	1	1	V1R	0	none	transcript	14560699	14562362	1	V1R_chr7_sc012	1
ENSMUSG00000095201	Vmn1r91	7	20101158	20102081	+	protein_coding	1	1	V1R	0	none	transcript	20101158	20102081	1	V1R_chr7_sc013	1
ENSMUSG00000096164	Vmn1r93	7	20138123	20139088	-	protein_coding	1	1	V1R	0	none	transcript	20138123	20139088	1	V1R_chr7_sc013	1
ENSMUSG00000094011	Vmn1r94	7	20167460	20168377	-	protein_coding	1	1	V1R	0	none	transcript	20167460	20168377	1	V1R_chr7_sc013	1
ENSMUSG00000094735	Vmn1r95	7	20193710	20194633	+	protein_coding	1	1	V1R	0	none	transcript	20193710	20194633	1	V1R_chr7_sc013	1
ENSMUSG00000094160	Vmn1r-ps79	7	20356798	20357760	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	20356798	20357760	1	V1R_chr7_sc013	1
ENSMUSG00000096386	Vmn1r100	7	20417942	20418865	+	protein_coding	1	1	V1R	0	none	transcript	20417942	20418865	1	V1R_chr7_sc013	1
ENSMUSG00000094545	Vmn1r101	7	20441670	20442593	-	protein_coding	1	1	V1R	0	none	transcript	20441670	20442593	1	V1R_chr7_sc013	1
ENSMUSG00000096663	Vmn1r103	7	20509617	20510534	-	protein_coding	1	1	V1R	0	none	transcript	20509617	20510534	1	V1R_chr7_sc013	1
ENSMUSG00000096903	Vmn1r104	7	20533837	20534760	+	protein_coding	1	1	V1R	0	none	transcript	20533837	20534760	1	V1R_chr7_sc013	1
ENSMUSG00000095275	Vmn1r107	7	20668918	20669841	+	protein_coding	1	1	V1R	0	none	transcript	20668918	20669841	1	V1R_chr7_sc013	1
ENSMUSG00000092487	Vmn1r-ps71	7	20680414	20681337	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	20680414	20681337	1	V1R_chr7_sc013	1
ENSMUSG00000095768	Vmn1r111	7	20702296	20703216	-	protein_coding	1	1	V1R	0	none	transcript	20702296	20703216	1	V1R_chr7_sc013	1
ENSMUSG00000094284	Vmn1r112	7	20771185	20772078	+	protein_coding	1	1	V1R	0	none	transcript	20771185	20772078	1	V1R_chr7_sc013	1
ENSMUSG00000091638	Vmn1r113	7	20787285	20788208	+	protein_coding	2	3	V1R	0	none	transcript	20787285	20788208	1	V1R_chr7_sc013	1
ENSMUSG00000094085	Vmn1r114	7	20811221	20812186	-	protein_coding	1	1	V1R	0	none	transcript	20811221	20812186	1	V1R_chr7_sc013	1
ENSMUSG00000091435	Vmn1r115	7	20844098	20844985	-	protein_coding	1	1	V1R	0	none	transcript	20844098	20844985	1	V1R_chr7_sc013	1
ENSMUSG00000095973	Vmn1r116	7	20872256	20873179	+	protein_coding	1	1	V1R	0	none	transcript	20872256	20873179	1	V1R_chr7_sc013	1
ENSMUSG00000096737	Vmn1r117	7	20883198	20884121	-	protein_coding	1	1	V1R	0	none	transcript	20883198	20884121	1	V1R_chr7_sc013	1
ENSMUSG00000094589	Vmn1r118	7	20911427	20912347	-	protein_coding	1	1	V1R	0	none	transcript	20911427	20912347	1	V1R_chr7_sc013	1
ENSMUSG00000094010	Vmn1r119	7	21011532	21012455	-	protein_coding	1	1	V1R	0	none	transcript	21011532	21012455	1	V1R_chr7_sc013	1
ENSMUSG00000094501	Vmn1r-ps73	7	21035174	21037293	-	unprocessed_pseudogene	1	1	V1R	1	biotype+name	transcript	21035174	21037293	1	V1R_chr7_sc013	1
ENSMUSG00000093986	Vmn1r120	7	21052867	21053784	-	protein_coding	1	1	V1R	0	none	transcript	21052867	21053784	1	V1R_chr7_sc013	1
