gene_id	gene_name	family	chrom	start	end	strand	is_pseudogene	cluster_id	cluster_n_genes	cluster_rank_in_cluster	supercluster_id	is_primary_assembly
ENSMUSG00000093520	Vmn1r-ps9	V1R	6	57278022	57278379	+	1	V1R_chr6_cl006	21	14	V1R_chr6_sc006	1
ENSMUSG00000093621	Vmn1r-ps10	V1R	6	57312939	57313827	+	1	V1R_chr6_cl006	21	15	V1R_chr6_sc006	1
ENSMUSG00000093523	Vmn1r16	V1R	6	57322645	57323657	-	0	V1R_chr6_cl006	21	16	V1R_chr6_sc006	1
ENSMUSG00000093411	Vmn1r17	V1R	6	57360452	57361431	-	0	V1R_chr6_cl006	21	17	V1R_chr6_sc006	1
ENSMUSG00000091382	Vmn1r18	V1R	6	57389580	57390666	-	0	V1R_chr6_cl006	21	18	V1R_chr6_sc006	1
ENSMUSG00000068426	Vmn1r19	V1R	6	57404366	57405483	+	0	V1R_chr6_cl006	21	19	V1R_chr6_sc006	1
ENSMUSG00000093679	Vmn1r20	V1R	6	57431644	57432695	+	0	V1R_chr6_cl006	21	20	V1R_chr6_sc006	1
ENSMUSG00000093398	Vmn1r-ps11	V1R	6	57447356	57448208	-	1	V1R_chr6_cl006	21	21	V1R_chr6_sc006	1
ENSMUSG00000058588	Vmn1r21	V1R	6	57843464	57844498	-	0	V1R_chr6_cl007	21	1	V1R_chr6_sc006	1
ENSMUSG00000093530	Vmn1r-ps12	V1R	6	57872415	57872916	-	1	V1R_chr6_cl007	21	2	V1R_chr6_sc006	1
ENSMUSG00000093501	Vmn1r22	V1R	6	57899959	57901054	-	0	V1R_chr6_cl007	21	3	V1R_chr6_sc006	1
ENSMUSG00000093376	Vmn1r23	V1R	6	57925842	57926838	-	0	V1R_chr6_cl007	21	4	V1R_chr6_sc006	1
ENSMUSG00000093451	Vmn1r24	V1R	6	57955633	57956578	-	0	V1R_chr6_cl007	21	5	V1R_chr6_sc006	1
ENSMUSG00000094206	Vmn1r25	V1R	6	57978299	57979351	-	0	V1R_chr6_cl007	21	6	V1R_chr6_sc006	1
ENSMUSG00000048697	Vmn1r26	V1R	6	58008183	58009202	-	0	V1R_chr6_cl007	21	7	V1R_chr6_sc006	1
ENSMUSG00000093382	Vmn1r-ps14	V1R	6	58048935	58049847	-	1	V1R_chr6_cl007	21	8	V1R_chr6_sc006	1
ENSMUSG00000093666	Vmn1r-ps15	V1R	6	58077173	58078082	-	1	V1R_chr6_cl007	21	9	V1R_chr6_sc006	1
ENSMUSG00000093743	Vmn1r-ps17	V1R	6	58115737	58116630	-	1	V1R_chr6_cl007	21	10	V1R_chr6_sc006	1
ENSMUSG00000093731	Vmn1r-ps18	V1R	6	58205685	58206925	+	1	V1R_chr6_cl007	21	11	V1R_chr6_sc006	1
ENSMUSG00000071428	Vmn1r27	V1R	6	58215106	58216017	-	0	V1R_chr6_cl007	21	12	V1R_chr6_sc006	1
ENSMUSG00000093522	Vmn1r-ps19	V1R	6	58256623	58257548	-	1	V1R_chr6_cl007	21	13	V1R_chr6_sc006	1
ENSMUSG00000094291	Vmn1r28	V1R	6	58265078	58266162	+	0	V1R_chr6_cl007	21	14	V1R_chr6_sc006	1
ENSMUSG00000091734	Vmn1r29	V1R	6	58307268	58308290	+	0	V1R_chr6_cl007	21	15	V1R_chr6_sc006	1
ENSMUSG00000093702	Vmn1r-ps20	V1R	6	58406413	58407327	-	1	V1R_chr6_cl007	21	16	V1R_chr6_sc006	1
ENSMUSG00000095670	Vmn1r30	V1R	6	58434842	58435894	-	0	V1R_chr6_cl007	21	17	V1R_chr6_sc006	1
ENSMUSG00000093461	Vmn1r-ps21	V1R	6	58455069	58455993	-	1	V1R_chr6_cl007	21	18	V1R_chr6_sc006	1
ENSMUSG00000093379	Vmn1r31	V1R	6	58471898	58475343	-	0	V1R_chr6_cl007	21	19	V1R_chr6_sc006	1
ENSMUSG00000093518	Vmn1r-ps22	V1R	6	58494348	58495247	-	1	V1R_chr6_cl007	21	20	V1R_chr6_sc006	1
ENSMUSG00000093588	Vmn1r-ps23	V1R	6	58504443	58504737	-	1	V1R_chr6_cl007	21	21	V1R_chr6_sc006	1
ENSMUSG00000062905	Vmn1r32	V1R	6	66552183	66559708	-	0	V1R_chr6_cl008	9	1	V1R_chr6_sc007	1
ENSMUSG00000059375	Vmn1r33	V1R	6	66611448	66616062	-	0	V1R_chr6_cl008	9	2	V1R_chr6_sc007	1
ENSMUSG00000091012	Vmn1r34	V1R	6	66636823	66637752	-	0	V1R_chr6_cl008	9	3	V1R_chr6_sc007	1
ENSMUSG00000060699	Vmn1r35	V1R	6	66678794	66679684	-	0	V1R_chr6_cl008	9	4	V1R_chr6_sc007	1
ENSMUSG00000093764	Vmn1r36	V1R	6	66715902	66716930	-	0	V1R_chr6_cl008	9	5	V1R_chr6_sc007	1
ENSMUSG00000057612	Vmn1r37	V1R	6	66731392	66732300	+	0	V1R_chr6_cl008	9	6	V1R_chr6_sc007	1
ENSMUSG00000093504	Vmn1r-ps24	V1R	6	66753380	66754279	-	1	V1R_chr6_cl008	9	7	V1R_chr6_sc007	1
ENSMUSG00000093632	Vmn1r38	V1R	6	66776144	66777179	-	0	V1R_chr6_cl008	9	8	V1R_chr6_sc007	1
ENSMUSG00000093755	Vmn1r39	V1R	6	66804212	66805443	-	0	V1R_chr6_cl008	9	9	V1R_chr6_sc007	1
ENSMUSG00000100128	Vmn1r-ps25	V1R	6	89698719	89699517	-	1	V1R_chr6_cl009	23	1	V1R_chr6_sc008	1
ENSMUSG00000096051	Vmn1r40	V1R	6	89714203	89715135	+	0	V1R_chr6_cl009	23	2	V1R_chr6_sc008	1
ENSMUSG00000094586	Vmn1r41	V1R	6	89746479	89747414	+	0	V1R_chr6_cl009	23	3	V1R_chr6_sc008	1
ENSMUSG00000092311	Vmn1r-ps26	V1R	6	89789449	89790288	+	1	V1R_chr6_cl009	23	4	V1R_chr6_sc008	1
ENSMUSG00000092237	Vmn1r-ps27	V1R	6	89805008	89805992	-	1	V1R_chr6_cl009	23	5	V1R_chr6_sc008	1
ENSMUSG00000068232	Vmn1r42	V1R	6	89844518	89845615	-	0	V1R_chr6_cl009	23	6	V1R_chr6_sc008	1
ENSMUSG00000068231	Vmn1r43	V1R	6	89869513	89870502	-	0	V1R_chr6_cl009	23	7	V1R_chr6_sc008	1
ENSMUSG00000068234	Vmn1r44	V1R	6	89893177	89894284	+	0	V1R_chr6_cl009	23	8	V1R_chr6_sc008	1
ENSMUSG00000092228	Vmn1r-ps28	V1R	6	89907677	89908618	+	1	V1R_chr6_cl009	23	9	V1R_chr6_sc008	1
ENSMUSG00000044248	Vmn1r45	V1R	6	89931649	89940507	-	0	V1R_chr6_cl009	23	10	V1R_chr6_sc008	1
ENSMUSG00000061653	Vmn1r46	V1R	6	89976171	89977100	+	0	V1R_chr6_cl009	23	11	V1R_chr6_sc008	1
ENSMUSG00000092303	Vmn1r-ps29	V1R	6	89997612	90004589	+	1	V1R_chr6_cl009	23	12	V1R_chr6_sc008	1
ENSMUSG00000060724	Vmn1r47	V1R	6	90021888	90022820	+	0	V1R_chr6_cl009	23	13	V1R_chr6_sc008	1
ENSMUSG00000057592	Vmn1r48	V1R	6	90035933	90036841	-	0	V1R_chr6_cl009	23	14	V1R_chr6_sc008	1
ENSMUSG00000092450	Vmn1r-ps31	V1R	6	90056409	90056646	-	1	V1R_chr6_cl009	23	15	V1R_chr6_sc008	1
ENSMUSG00000095932	Vmn1r49	V1R	6	90072086	90073018	-	0	V1R_chr6_cl009	23	16	V1R_chr6_sc008	1
ENSMUSG00000094553	Vmn1r50	V1R	6	90107275	90108207	+	0	V1R_chr6_cl009	23	17	V1R_chr6_sc008	1
ENSMUSG00000062818	Vmn1r51	V1R	6	90122643	90130990	+	0	V1R_chr6_cl009	23	18	V1R_chr6_sc008	1
ENSMUSG00000061843	Vmn1r-ps32	V1R	6	90153047	90154002	+	1	V1R_chr6_cl009	23	19	V1R_chr6_sc008	1
ENSMUSG00000060816	Vmn1r52	V1R	6	90178716	90179645	+	0	V1R_chr6_cl009	23	20	V1R_chr6_sc008	1
ENSMUSG00000057697	Vmn1r53	V1R	6	90223317	90224438	-	0	V1R_chr6_cl009	23	21	V1R_chr6_sc008	1
ENSMUSG00000099754	Vmn1r-ps34	V1R	6	90242272	90243214	+	1	V1R_chr6_cl009	23	22	V1R_chr6_sc008	1
ENSMUSG00000047203	Vmn1r54	V1R	6	90269106	90270053	+	0	V1R_chr6_cl009	23	23	V1R_chr6_sc008	1
ENSMUSG00000074402	Vmn1r55	V1R	7	5146218	5147501	-	0	V1R_chr7_cl010	14	1	V1R_chr7_sc009	1
ENSMUSG00000091874	Vmn1r56	V1R	7	5194916	5196747	-	0	V1R_chr7_cl010	14	2	V1R_chr7_sc009	1
ENSMUSG00000091652	Vmn1r57	V1R	7	5220478	5221410	+	0	V1R_chr7_cl010	14	3	V1R_chr7_sc009	1
ENSMUSG00000078808	Vmn1r58	V1R	7	5408887	5413145	-	0	V1R_chr7_cl010	14	4	V1R_chr7_sc009	1
ENSMUSG00000074401	Vmn1r59	V1R	7	5453400	5454838	-	0	V1R_chr7_cl010	14	5	V1R_chr7_sc009	1
ENSMUSG00000090794	Vmn1r60	V1R	7	5544197	5545129	-	0	V1R_chr7_cl010	14	6	V1R_chr7_sc009	1
ENSMUSG00000092336	Vmn1r-ps40	V1R	7	5572733	5573075	-	1	V1R_chr7_cl010	14	7	V1R_chr7_sc009	1
ENSMUSG00000094313	Vmn1r61	V1R	7	5610411	5611313	-	0	V1R_chr7_cl010	14	8	V1R_chr7_sc009	1
ENSMUSG00000092579	Vmn1r62	V1R	7	5674627	5676383	+	0	V1R_chr7_cl010	14	9	V1R_chr7_sc009	1
ENSMUSG00000058631	Vmn1r63	V1R	7	5802345	5805445	-	0	V1R_chr7_cl010	14	10	V1R_chr7_sc009	1
ENSMUSG00000058399	Vmn1r64	V1R	7	5883580	5884542	-	0	V1R_chr7_cl010	14	11	V1R_chr7_sc009	1
ENSMUSG00000092580	Vmn1r-ps45	V1R	7	5929501	5930455	-	1	V1R_chr7_cl010	14	12	V1R_chr7_sc009	1
ENSMUSG00000092271	Vmn1r-ps46	V1R	7	5966268	5967216	-	1	V1R_chr7_cl010	14	13	V1R_chr7_sc009	1
ENSMUSG00000066850	Vmn1r65	V1R	7	6007750	6011010	-	0	V1R_chr7_cl010	14	14	V1R_chr7_sc009	1
ENSMUSG00000043066	Vmn1r66	V1R	7	10273828	10275351	-	0	V1R_chr7_cl011	12	1	V1R_chr7_sc010	1
ENSMUSG00000093781	Vmn1r-ps47	V1R	7	10280797	10281703	-	1	V1R_chr7_cl011	12	2	V1R_chr7_sc010	1
ENSMUSG00000093487	Vmn1r-ps48	V1R	7	10300485	10301380	+	1	V1R_chr7_cl011	12	3	V1R_chr7_sc010	1
ENSMUSG00000046716	Vmn1r67	V1R	7	10446789	10447784	+	0	V1R_chr7_cl011	12	4	V1R_chr7_sc010	1
ENSMUSG00000047031	Vmn1r68	V1R	7	10527210	10528169	-	0	V1R_chr7_cl011	12	5	V1R_chr7_sc010	1
ENSMUSG00000093595	Vmn1r-ps49	V1R	7	10549557	10550435	-	1	V1R_chr7_cl011	12	6	V1R_chr7_sc010	1
ENSMUSG00000091662	Vmn1r69	V1R	7	10579756	10613576	-	0	V1R_chr7_cl011	12	7	V1R_chr7_sc010	1
ENSMUSG00000093418	Vmn1r-ps50	V1R	7	10604765	10605138	-	1	V1R_chr7_cl011	12	8	V1R_chr7_sc010	1
ENSMUSG00000045340	Vmn1r70	V1R	7	10633587	10634483	+	0	V1R_chr7_cl011	12	9	V1R_chr7_sc010	1
ENSMUSG00000093534	Vmn1r-ps51	V1R	7	10650299	10650618	+	1	V1R_chr7_cl011	12	10	V1R_chr7_sc010	1
ENSMUSG00000093689	Vmn1r-ps52	V1R	7	10666766	10667627	-	1	V1R_chr7_cl011	12	11	V1R_chr7_sc010	1
ENSMUSG00000059206	Vmn1r71	V1R	7	10747502	10749538	-	0	V1R_chr7_cl011	12	12	V1R_chr7_sc010	1
ENSMUSG00000092489	Vmn1r-ps53	V1R	7	11653130	11654051	-	1	V1R_chr7_cl012	29	1	V1R_chr7_sc011	1
ENSMUSG00000095430	Vmn1r72	V1R	7	11669599	11670519	-	0	V1R_chr7_cl012	29	2	V1R_chr7_sc011	1
ENSMUSG00000051687	Vmn1r73	V1R	7	11756257	11757168	+	0	V1R_chr7_cl012	29	3	V1R_chr7_sc011	1
ENSMUSG00000092631	Vmn1r-ps54	V1R	7	11782089	11782266	+	1	V1R_chr7_cl012	29	4	V1R_chr7_sc011	1
ENSMUSG00000047655	Vmn1r74	V1R	7	11846775	11847689	+	0	V1R_chr7_cl012	29	5	V1R_chr7_sc011	1
ENSMUSG00000092326	Vmn1r-ps55	V1R	7	11853957	11854348	+	1	V1R_chr7_cl012	29	6	V1R_chr7_sc011	1
ENSMUSG00000043308	Vmn1r75	V1R	7	11880343	11881260	+	0	V1R_chr7_cl012	29	7	V1R_chr7_sc011	1
ENSMUSG00000092285	Vmn1r-ps56	V1R	7	11911246	11912210	-	1	V1R_chr7_cl012	29	8	V1R_chr7_sc011	1
ENSMUSG00000045713	Vmn1r76	V1R	7	11930311	11931285	-	0	V1R_chr7_cl012	29	9	V1R_chr7_sc011	1
ENSMUSG00000092466	Vmn1r-ps57	V1R	7	11965562	11965849	-	1	V1R_chr7_cl012	29	10	V1R_chr7_sc011	1
ENSMUSG00000092208	Vmn1r-ps58	V1R	7	11976950	11977789	-	1	V1R_chr7_cl012	29	11	V1R_chr7_sc011	1
ENSMUSG00000092398	Vmn1r-ps59	V1R	7	11994883	11995081	+	1	V1R_chr7_cl012	29	12	V1R_chr7_sc011	1
ENSMUSG00000092318	Vmn1r-ps60	V1R	7	12005066	12006310	+	1	V1R_chr7_cl012	29	13	V1R_chr7_sc011	1
ENSMUSG00000095864	Vmn1r77	V1R	7	12041299	12042219	+	0	V1R_chr7_cl012	29	14	V1R_chr7_sc011	1
ENSMUSG00000092535	Vmn1r-ps61	V1R	7	12091277	12092098	+	1	V1R_chr7_cl012	29	15	V1R_chr7_sc011	1
ENSMUSG00000092350	Vmn1r-ps62	V1R	7	12113265	12114541	+	1	V1R_chr7_cl012	29	16	V1R_chr7_sc011	1
ENSMUSG00000092248	Vmn1r-ps63	V1R	7	12138321	12139309	+	1	V1R_chr7_cl012	29	17	V1R_chr7_sc011	1
ENSMUSG00000061602	Vmn1r78	V1R	7	12152464	12153405	+	0	V1R_chr7_cl012	29	18	V1R_chr7_sc011	1
ENSMUSG00000096735	Vmn1r79	V1R	7	12176193	12177113	+	0	V1R_chr7_cl012	29	19	V1R_chr7_sc011	1
ENSMUSG00000057161	Vmn1r80	V1R	7	12192965	12193891	+	0	V1R_chr7_cl012	29	20	V1R_chr7_sc011	1
ENSMUSG00000092351	Vmn1r-ps64	V1R	7	12201702	12202356	+	1	V1R_chr7_cl012	29	21	V1R_chr7_sc011	1
ENSMUSG00000092476	Vmn1r-ps65	V1R	7	12214595	12215545	+	1	V1R_chr7_cl012	29	22	V1R_chr7_sc011	1
ENSMUSG00000094078	Vmn1r81	V1R	7	12259759	12260679	-	0	V1R_chr7_cl012	29	23	V1R_chr7_sc011	1
ENSMUSG00000058132	Vmn1r82	V1R	7	12304802	12305719	+	0	V1R_chr7_cl012	29	24	V1R_chr7_sc011	1
ENSMUSG00000066804	Vmn1r83	V1R	7	12321180	12322175	-	0	V1R_chr7_cl012	29	25	V1R_chr7_sc011	1
ENSMUSG00000066803	Vmn1r84	V1R	7	12361808	12362764	-	0	V1R_chr7_cl012	29	26	V1R_chr7_sc011	1
ENSMUSG00000092331	Vmn1r-ps66	V1R	7	12392272	12392883	-	1	V1R_chr7_cl012	29	27	V1R_chr7_sc011	1
ENSMUSG00000092610	Vmn1r-ps67	V1R	7	12399051	12399741	-	1	V1R_chr7_cl012	29	28	V1R_chr7_sc011	1
ENSMUSG00000092359	Vmn1r-ps68	V1R	7	12404101	12404499	-	1	V1R_chr7_cl012	29	29	V1R_chr7_sc011	1
ENSMUSG00000070817	Vmn1r85	V1R	7	13084289	13085215	-	0	V1R_chr7_cl013	6	1	V1R_chr7_sc011	1
ENSMUSG00000070816	Vmn1r86	V1R	7	13101997	13102947	-	0	V1R_chr7_cl013	6	2	V1R_chr7_sc011	1
ENSMUSG00000070815	Vmn1r87	V1R	7	13131471	13132358	-	0	V1R_chr7_cl013	6	3	V1R_chr7_sc011	1
ENSMUSG00000095902	Vmn1r88	V1R	7	13177719	13178669	+	0	V1R_chr7_cl013	6	4	V1R_chr7_sc011	1
ENSMUSG00000095629	Vmn1r89	V1R	7	13219339	13220289	+	0	V1R_chr7_cl013	6	5	V1R_chr7_sc011	1
ENSMUSG00000092427	Vmn1r-ps69	V1R	7	13244162	13244362	+	1	V1R_chr7_cl013	6	6	V1R_chr7_sc011	1
ENSMUSG00000100586	Vmn1r90	V1R	7	14560699	14562362	-	0	V1R_chr7_cl014	1	1	V1R_chr7_sc012	1
ENSMUSG00000095201	Vmn1r91	V1R	7	20101158	20102081	+	0	V1R_chr7_cl015	37	1	V1R_chr7_sc013	1
ENSMUSG00000096164	Vmn1r93	V1R	7	20138123	20139088	-	0	V1R_chr7_cl015	37	2	V1R_chr7_sc013	1
ENSMUSG00000094011	Vmn1r94	V1R	7	20167460	20168377	-	0	V1R_chr7_cl015	37	3	V1R_chr7_sc013	1
ENSMUSG00000094735	Vmn1r95	V1R	7	20193710	20194633	+	0	V1R_chr7_cl015	37	4	V1R_chr7_sc013	1
ENSMUSG00000094160	Vmn1r-ps79	V1R	7	20356798	20357760	-	1	V1R_chr7_cl015	37	5	V1R_chr7_sc013	1
ENSMUSG00000096386	Vmn1r100	V1R	7	20417942	20418865	+	0	V1R_chr7_cl015	37	6	V1R_chr7_sc013	1
ENSMUSG00000094545	Vmn1r101	V1R	7	20441670	20442593	-	0	V1R_chr7_cl015	37	7	V1R_chr7_sc013	1
ENSMUSG00000096663	Vmn1r103	V1R	7	20509617	20510534	-	0	V1R_chr7_cl015	37	8	V1R_chr7_sc013	1
ENSMUSG00000096903	Vmn1r104	V1R	7	20533837	20534760	+	0	V1R_chr7_cl015	37	9	V1R_chr7_sc013	1
ENSMUSG00000095275	Vmn1r107	V1R	7	20668918	20669841	+	0	V1R_chr7_cl015	37	10	V1R_chr7_sc013	1
ENSMUSG00000092487	Vmn1r-ps71	V1R	7	20680414	20681337	-	1	V1R_chr7_cl015	37	11	V1R_chr7_sc013	1
ENSMUSG00000095768	Vmn1r111	V1R	7	20702296	20703216	-	0	V1R_chr7_cl015	37	12	V1R_chr7_sc013	1
ENSMUSG00000094284	Vmn1r112	V1R	7	20771185	20772078	+	0	V1R_chr7_cl015	37	13	V1R_chr7_sc013	1
ENSMUSG00000091638	Vmn1r113	V1R	7	20787285	20788208	+	0	V1R_chr7_cl015	37	14	V1R_chr7_sc013	1
ENSMUSG00000094085	Vmn1r114	V1R	7	20811221	20812186	-	0	V1R_chr7_cl015	37	15	V1R_chr7_sc013	1
ENSMUSG00000091435	Vmn1r115	V1R	7	20844098	20844985	-	0	V1R_chr7_cl015	37	16	V1R_chr7_sc013	1
ENSMUSG00000095973	Vmn1r116	V1R	7	20872256	20873179	+	0	V1R_chr7_cl015	37	17	V1R_chr7_sc013	1
ENSMUSG00000096737	Vmn1r117	V1R	7	20883198	20884121	-	0	V1R_chr7_cl015	37	18	V1R_chr7_sc013	1
ENSMUSG00000094589	Vmn1r118	V1R	7	20911427	20912347	-	0	V1R_chr7_cl015	37	19	V1R_chr7_sc013	1
ENSMUSG00000094010	Vmn1r119	V1R	7	21011532	21012455	-	0	V1R_chr7_cl015	37	20	V1R_chr7_sc013	1
ENSMUSG00000094501	Vmn1r-ps73	V1R	7	21035174	21037293	-	1	V1R_chr7_cl015	37	21	V1R_chr7_sc013	1
ENSMUSG00000093986	Vmn1r120	V1R	7	21052867	21053784	-	0	V1R_chr7_cl015	37	22	V1R_chr7_sc013	1
ENSMUSG00000092616	Vmn1r-ps74	V1R	7	21092110	21092679	+	1	V1R_chr7_cl015	37	23	V1R_chr7_sc013	1
ENSMUSG00000094680	Vmn1r121	V1R	7	21097569	21098513	-	0	V1R_chr7_cl015	37	24	V1R_chr7_sc013	1
ENSMUSG00000094001	Vmn1r122	V1R	7	21133211	21134128	-	0	V1R_chr7_cl015	37	25	V1R_chr7_sc013	1
ENSMUSG00000094385	Vmn1r123	V1R	7	21162185	21163108	+	0	V1R_chr7_cl015	37	26	V1R_chr7_sc013	1
ENSMUSG00000094221	Vmn1r124	V1R	7	21259694	21260617	-	0	V1R_chr7_cl015	37	27	V1R_chr7_sc013	1
ENSMUSG00000095309	Vmn1r125	V1R	7	21272179	21273102	+	0	V1R_chr7_cl015	37	28	V1R_chr7_sc013	1
ENSMUSG00000096813	Vmn1r126	V1R	7	21300502	21301467	-	0	V1R_chr7_cl015	37	29	V1R_chr7_sc013	1
ENSMUSG00000093890	Vmn1r127	V1R	7	21318944	21319861	-	0	V1R_chr7_cl015	37	30	V1R_chr7_sc013	1
ENSMUSG00000095758	Vmn1r128	V1R	7	21349373	21350296	+	0	V1R_chr7_cl015	37	31	V1R_chr7_sc013	1
ENSMUSG00000094879	Vmn1r129	V1R	7	21360368	21361291	-	0	V1R_chr7_cl015	37	32	V1R_chr7_sc013	1
ENSMUSG00000095185	Vmn1r-ps75	V1R	7	21392341	21393260	-	1	V1R_chr7_cl015	37	33	V1R_chr7_sc013	1
ENSMUSG00000094208	Vmn1r130	V1R	7	21511780	21512703	+	0	V1R_chr7_cl015	37	34	V1R_chr7_sc013	1
ENSMUSG00000096741	Vmn1r-ps76	V1R	7	21523277	21524200	-	1	V1R_chr7_cl015	37	35	V1R_chr7_sc013	1
ENSMUSG00000093941	Vmn1r131	V1R	7	21545170	21546090	-	0	V1R_chr7_cl015	37	36	V1R_chr7_sc013	1
ENSMUSG00000074322	Vmn1r132	V1R	7	21614092	21614985	+	0	V1R_chr7_cl015	37	37	V1R_chr7_sc013	1
ENSMUSG00000095064	Vmn1r135	V1R	7	21832351	21833274	+	0	V1R_chr7_cl016	23	1	V1R_chr7_sc013	1
ENSMUSG00000092506	Vmn1r-ps77	V1R	7	21875360	21876280	-	1	V1R_chr7_cl016	23	2	V1R_chr7_sc013	1
ENSMUSG00000095962	Vmn1r137	V1R	7	21994587	21995510	+	0	V1R_chr7_cl016	23	3	V1R_chr7_sc013	1
ENSMUSG00000095287	Vmn1r-ps78	V1R	7	22006084	22007007	-	1	V1R_chr7_cl016	23	4	V1R_chr7_sc013	1
ENSMUSG00000095163	Vmn1r138	V1R	7	22027977	22028897	-	0	V1R_chr7_cl016	23	5	V1R_chr7_sc013	1
ENSMUSG00000074311	Vmn1r139	V1R	7	22069057	22097907	+	0	V1R_chr7_cl016	23	6	V1R_chr7_sc013	1
ENSMUSG00000095273	Vmn1r142	V1R	7	22163118	22164035	-	0	V1R_chr7_cl016	23	7	V1R_chr7_sc013	1
ENSMUSG00000096071	Vmn1r143	V1R	7	22189377	22190300	+	0	V1R_chr7_cl016	23	8	V1R_chr7_sc013	1
ENSMUSG00000095816	Vmn1r-ps70	V1R	7	22352435	22353397	-	1	V1R_chr7_cl016	23	9	V1R_chr7_sc013	1
ENSMUSG00000095543	Vmn1r148	V1R	7	22413583	22414506	+	0	V1R_chr7_cl016	23	10	V1R_chr7_sc013	1
ENSMUSG00000094542	Vmn1r149	V1R	7	22437306	22438229	-	0	V1R_chr7_cl016	23	11	V1R_chr7_sc013	1
ENSMUSG00000093853	Vmn1r151	V1R	7	22498761	22499678	-	0	V1R_chr7_cl016	23	12	V1R_chr7_sc013	1
ENSMUSG00000095383	Vmn1r152	V1R	7	22522967	22523890	+	0	V1R_chr7_cl016	23	13	V1R_chr7_sc013	1
ENSMUSG00000094905	Vmn1r155	V1R	7	22658018	22658941	+	0	V1R_chr7_cl016	23	14	V1R_chr7_sc013	1
ENSMUSG00000092547	Vmn1r-ps80	V1R	7	22669464	22670429	-	1	V1R_chr7_cl016	23	15	V1R_chr7_sc013	1
ENSMUSG00000095619	Vmn1r157	V1R	7	22761697	22762590	+	0	V1R_chr7_cl016	23	16	V1R_chr7_sc013	1
ENSMUSG00000094700	Vmn1r158	V1R	7	22789859	22790782	-	0	V1R_chr7_cl016	23	17	V1R_chr7_sc013	1
ENSMUSG00000095931	Vmn1r159	V1R	7	22842688	22843605	-	0	V1R_chr7_cl016	23	18	V1R_chr7_sc013	1
