# vr_quantify.py -- trial=trial2; CPM = count / (all-gene column sum of unscaled salmon.merged.gene_counts.tsv) * 1e6; cluster tier=200kb, supercluster tier=800kb; individual-paralog calls are tentative by construction
trial	sample	cluster_id	supercluster_id	family	is_dominant_cluster	cluster_share_of_vr	cluster_cpm	rank	gene_id	gene_name	candidate_list	n_candidates_reported	evidence_type	unique_reads_bam	unique_reads_bam_nodup	unique_reads_salmon_tx	unique_share_of_cluster	em_counts	em_frac_of_cluster	em_flag	even_block_size	unique_reads_cluster_median	top_over_background_floor	evidence_contradiction	confidence	confirmation_status	marker_consistency	population_call	notes
trial2	target100cellsRep1_S6	V1R_chr7_cl017	V1R_chr7_sc013	V1R	0	0.10074911866450352	477.1757799446072	2	ENSMUSG00000066723	Vmn1r183	Vmn1r178,Vmn1r183,Vmn1r168	3	bam_unique_mapq255	2.0	2.0	1.0	7.693491306354824e-05	1.001	0.00013667620669320177	no_redistribution_signature	0	0.0	inf		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=12996.00; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep1_S6	V1R_chr7_cl017	V1R_chr7_sc013	V1R	0	0.10074911866450352	477.1757799446072	3	ENSMUSG00000074291	Vmn1r168	Vmn1r178,Vmn1r183,Vmn1r168	3	bam_unique_mapq255	2.0	2.0	1.0	7.693491306354824e-05	1.0	0.00013653966702617561	no_redistribution_signature	0	0.0	inf		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=12996.00; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr6_cl008	V1R_chr6_sc007	V1R	1	0.3627090932654841	2196.5592300267904	1	ENSMUSG00000057612	Vmn1r37	Vmn1r37,Vmn1r33,Vmn1r35	3	bam_unique_mapq255	53841.0	17159.0	25999.0	0.6478125902396766	41188.453	0.7434470550421836	no_redistribution_signature	0	9.0	5982.333333333333		unresolvable	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.85; background floor (median unique reads of non-top members)=9.0, top/floor=5982.33; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr6_cl008	V1R_chr6_sc007	V1R	1	0.3627090932654841	2196.5592300267904	2	ENSMUSG00000059375	Vmn1r33	Vmn1r37,Vmn1r33,Vmn1r35	3	bam_unique_mapq255	29099.0	14227.0	840.0	0.35011791317739915	14102.636	0.25455103163335313	no_redistribution_signature	0	9.0	5982.333333333333		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.85; background floor (median unique reads of non-top members)=9.0, top/floor=5982.33; EM counts shown for context only and were NOT used to rank. n_transcripts=2
trial2	target100cellsRep2_S7	V1R_chr6_cl008	V1R_chr6_sc007	V1R	1	0.3627090932654841	2196.5592300267904	3	ENSMUSG00000060699	Vmn1r35	Vmn1r37,Vmn1r33,Vmn1r35	3	bam_unique_mapq255	113.0	90.0	49.0	0.0013596111271537202	49.643	0.0008960507002644435	no_redistribution_signature	0	9.0	5982.333333333333		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.85; background floor (median unique reads of non-top members)=9.0, top/floor=5982.33; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr7_cl013	V1R_chr7_sc011	V1R	0	0.20444532271289592	1238.116906851621	1	ENSMUSG00000095629	Vmn1r89	Vmn1r89,Vmn1r87,Vmn1r85	3	bam_unique_mapq255	35153.0	18468.0	15945.0	0.519822550831793	15971.0	0.511432048161906	no_redistribution_signature	0	2.0	17576.5		unresolvable	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.09; background floor (median unique reads of non-top members)=2.0, top/floor=17576.50; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr7_cl013	V1R_chr7_sc011	V1R	0	0.20444532271289592	1238.116906851621	2	ENSMUSG00000070815	Vmn1r87	Vmn1r89,Vmn1r87,Vmn1r85	3	bam_unique_mapq255	32301.0	18571.0	15167.0	0.4776487985212569	15181.0	0.48613423850390675	no_redistribution_signature	0	2.0	17576.5		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.09; background floor (median unique reads of non-top members)=2.0, top/floor=17576.50; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr7_cl013	V1R_chr7_sc011	V1R	0	0.20444532271289592	1238.116906851621	3	ENSMUSG00000070817	Vmn1r85	Vmn1r89,Vmn1r87,Vmn1r85	3	bam_unique_mapq255	169.0	145.0	76.0	0.002499075785582255	76.0	0.002433713334187268	no_redistribution_signature	0	2.0	17576.5		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.09; background floor (median unique reads of non-top members)=2.0, top/floor=17576.50; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr17_cl021	V1R_chr17_sc016	V1R	0	0.10624897983564711	643.441760000479	1	ENSMUSG00000054142	Vmn1r236	Vmn1r236,Vmn1r225,Vmn1r224	3	bam_unique_mapq255	16723.0	10646.0	5716.0	0.3862124711316397	5717.0	0.3522706266559862	no_redistribution_signature	0	0.0	inf		unresolvable	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.32; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr17_cl021	V1R_chr17_sc016	V1R	0	0.10624897983564711	643.441760000479	2	ENSMUSG00000043537	Vmn1r225	Vmn1r236,Vmn1r225,Vmn1r224	3	bam_unique_mapq255	12671.0	8268.0	5925.0	0.2926327944572748	5925.0	0.3650871895988662	no_redistribution_signature	0	0.0	inf		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.32; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target100cellsRep2_S7	V1R_chr17_cl021	V1R_chr17_sc016	V1R	0	0.10624897983564711	643.441760000479	3	ENSMUSG00000091151	Vmn1r224	Vmn1r236,Vmn1r225,Vmn1r224	3	bam_unique_mapq255	8571.0	5470.0	2716.0	0.1979445727482679	2717.0	0.16741635344137037	no_redistribution_signature	0	0.0	inf		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.32; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target2cellsRep1_S3	V1R_chr7_cl016	V1R_chr7_sc013	V1R	1	0.6676325440337936	515.4385276104961	1	ENSMUSG00000096073	Vmn1r166	Vmn1r166,Vmn1r143	2	bam_unique_mapq255	70.0	51.0	0.0	0.9722222222222222	4489.472	0.5002702780102679	suspected_em_redistribution	2	0.0	inf		moderate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=35.00; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target2cellsRep1_S3	V1R_chr7_cl016	V1R_chr7_sc013	V1R	1	0.6676325440337936	515.4385276104961	2	ENSMUSG00000096071	Vmn1r143	Vmn1r166,Vmn1r143	2	bam_unique_mapq255	2.0	2.0	1.0	0.027777777777777776	1.664	0.00018542263825436172	suspected_em_redistribution	2	0.0	inf		alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=35.00; background floor (median unique reads of non-top members)=0.0, top/floor=inf; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target2cellsRep1_S3	V1R_chr7_cl015	V1R_chr7_sc013	V1R	0	0.33140031387480645	255.8540492966746	1	ENSMUSG00000096663	Vmn1r103	Vmn1r103,Vmn1r104,Vmn1r-ps75	3	bam_unique_mapq255	186.0	92.0	0.0	0.42857142857142855	0.0	0.0	no_redistribution_signature	0	2.0	93.0	EM_UNIQUE_CONTRADICTION: unique reads rank Vmn1r103 first (EM fraction 0.0000) while the EM-dominant paralog Vmn1r131 (EM fraction 0.999) carries 0 unique reads. The two evidence channels name different genes; neither identifies the expressed receptor in this cluster.	unresolvable	tentative_unconfirmed	consistent	V1R_dominant	EM_UNIQUE_CONTRADICTION: unique reads rank Vmn1r103 first (EM fraction 0.0000) while the EM-dominant paralog Vmn1r131 (EM fraction 0.999) carries 0 unique reads. The two evidence channels name different genes; neither identifies the expressed receptor in this cluster. ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.00; background floor (median unique reads of non-top members)=2.0, top/floor=93.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target2cellsRep1_S3	V1R_chr7_cl015	V1R_chr7_sc013	V1R	0	0.33140031387480645	255.8540492966746	2	ENSMUSG00000096903	Vmn1r104	Vmn1r103,Vmn1r104,Vmn1r-ps75	3	bam_unique_mapq255	186.0	92.0	0.0	0.42857142857142855	0.0	0.0	no_redistribution_signature	0	2.0	93.0	EM_UNIQUE_CONTRADICTION: unique reads rank Vmn1r103 first (EM fraction 0.0000) while the EM-dominant paralog Vmn1r131 (EM fraction 0.999) carries 0 unique reads. The two evidence channels name different genes; neither identifies the expressed receptor in this cluster.	alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	EM_UNIQUE_CONTRADICTION: unique reads rank Vmn1r103 first (EM fraction 0.0000) while the EM-dominant paralog Vmn1r131 (EM fraction 0.999) carries 0 unique reads. The two evidence channels name different genes; neither identifies the expressed receptor in this cluster. ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.00; background floor (median unique reads of non-top members)=2.0, top/floor=93.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
trial2	target2cellsRep1_S3	V1R_chr7_cl015	V1R_chr7_sc013	V1R	0	0.33140031387480645	255.8540492966746	3	ENSMUSG00000095185	Vmn1r-ps75	Vmn1r103,Vmn1r104,Vmn1r-ps75	3	bam_unique_mapq255	10.0	10.0	0.0	0.02304147465437788	0.0	0.0	no_redistribution_signature	0	2.0	93.0	EM_UNIQUE_CONTRADICTION: unique reads rank Vmn1r103 first (EM fraction 0.0000) while the EM-dominant paralog Vmn1r131 (EM fraction 0.999) carries 0 unique reads. The two evidence channels name different genes; neither identifies the expressed receptor in this cluster.	alternative_candidate	tentative_unconfirmed	consistent	V1R_dominant	EM_UNIQUE_CONTRADICTION: unique reads rank Vmn1r103 first (EM fraction 0.0000) while the EM-dominant paralog Vmn1r131 (EM fraction 0.999) carries 0 unique reads. The two evidence channels name different genes; neither identifies the expressed receptor in this cluster. ranked by bam_unique_mapq255; unique-read ratio rank1/rank2=1.00; background floor (median unique reads of non-top members)=2.0, top/floor=93.00; EM counts shown for context only and were NOT used to rank. n_transcripts=1
